      2 这是一件大事	如果我说错了也没关系	承认错了就行了
      2 规定的	实行婚姻自由	一夫一妻
      2 被称为	同性恋婚姻维权第一案	当事人的27岁湖南小伙孙文麟这样阐述对
      2 而不是男女	1月7日	握着长沙市芙蓉区人民法院下发的案件受理通知书
      2 男女平等的婚姻制度	我理解	夫妻
      2 现在没有对话	就会觉得自己百分之百赢	但要把话讲完才知道谁对谁错
      2 是指身份和关系	而不是男女	1月7日
      2 握着长沙市芙蓉区人民法院下发的案件受理通知书	被称为	同性恋婚姻维权第一案
      2 我理解	夫妻	是指身份和关系
      2 当事人的27岁湖南小伙孙文麟这样阐述对	婚姻法	的理
      2 实行婚姻自由	一夫一妻	男女平等的婚姻制度
      2 婚姻法	规定的	实行婚姻自由
      2 婚姻法	的理	解
      2 夫妻	是指身份和关系	而不是男女
      2 同性恋婚姻维权第一案	当事人的27岁湖南小伙孙文麟这样阐述对	婚姻法
      2 一夫一妻	男女平等的婚姻制度	我理解
      2 1月7日	握着长沙市芙蓉区人民法院下发的案件受理通知书	被称为
      1 黄叙浩	相关新闻	返回南方网首页
      1 题	甚至环境污染问题	同性恋的议题在社会关注中容易排不上队
      1 需要时间去接受	十多年过去	孙文麟父亲回忆起那晚依旧难以平静
      1 随后	他向芙蓉区人民法院递交诉状	起诉民政局行政
      1 除了在家	出柜	在外边
      1 阻力	孙文麟父亲常常感叹	把你养这么大
      1 闲来无事的孙文麟无意中看到某个医学网站上的裸体照片	盯着照片	他发现竟然是男性的裸体对他更有吸引力
      1 问题上	孙文麟说	自己不喜欢被强加
      1 重生	最亲的人	完成身份认同后
      1 重生	27岁的孙文麟生于湖南长沙	和很多80后一样
      1 配偶	并且备注性别随意	2012年
      1 那晚	劝架的亲戚把孙文麟拉到里屋	批评他不
      1 那时	和我玩得最好的是堂姐	我什么都
      1 那各方面的歧视就站不住脚了	她建议对现行的	婚姻法
      1 避堵攻略来了	抢抓粤港澳大湾区机遇	2019年珠三角准备好了吗
      1 逢年过	节	还会向亲戚朋友介绍自己的阅读心得
      1 退休养老制度	福利制度	民生问
      1 违法和不良信息举报电话	87373397	18122015068
      1 这让孙文麟感到很受伤	因为信任	所以坦诚
      1 这让孙文麟和老胡激动不已	二人决定登记结婚	二人结婚登记遭拒后
      1 这没有什么可怕的	为什么不能做自己呢	言犹在耳
      1 这是每一个为人父母的对子女最基本的期望吧	在	后代
      1 这是压在父亲心头的一块大石	他害怕没脸面去见先人	孙文麟父亲坦言
      1 这是一种本能	要治疗和改变	就跟砍掉手脚是一样的
      1 这些年	身边人都替孙文麟捏把汗	刚到一个新环境就很快
      1 这个词	拼音首字母与男同性恋英文缩写BL相同	当时有个男生举止比较
      1 这一点他	父亲	也清楚
      1 还需要了解更多东西	才能让别人更好地接纳同性恋	于是他开始大量阅读与同性恋相关的书籍
      1 还指责他	同性恋本来就是不光彩的	向家人
      1 还想拥	有和异性恋一样的爱和婚姻	半年前
      1 还喜欢和女生跳皮筋	大家都叫他	玻璃
      1 还会继续壮大吗	吉林省政协原副主席王尔智严重违纪违法被开除党籍和公职	啥是佩奇
      1 还会向亲戚朋友介绍自己的阅读心得	久而久之	微妙的变化发生了
      1 返回南方网首页	中国新闻	广东新闻
      1 轰动	的一次	出柜
      1 身边人都替孙文麟捏把汗	刚到一个新环境就很快	出柜
      1 身份	在他看来	性取向就像人的手足
      1 跟工作人员理论	他说	婚姻自由是写在里面的
      1 跟她学	她穿什么我就穿什么	万物生长无人阻挡
      1 跋山涉水接力跑	全面深化改革的	广东探索
      1 起诉芙蓉区民政局行政	不作为	1月5日
      1 起诉民政局行政	不作为	诉状终在1月5日得到
      1 赶时髦	就没当真	但眼看儿子上高中后因为心理压力过重
      1 走到这一步	我也慢慢接受了	只希望他能有个后代
      1 走出来	从大学到职场	他从不隐瞒自己的
      1 财经	房产	IT
      1 该跟父亲动手	还指责他	同性恋本来就是不光彩的
      1 诚聘英才	联系我们	法律声明
      1 诉状终在1月5日得到	受理	想要的婚姻
      1 讲习所	广东	中国
      1 认识到这一点的他觉得好像经历了一次	重生	最亲的人
      1 言犹在耳	只不过这次面对的是自己的儿子	前年
      1 解	2016	01
      1 解	12岁发现自己是喜欢男生的	彩虹男孩
      1 视觉	文化	乡村
      1 见性较低	公众对同性恋总体接纳程度仍不高	完全接纳同性恋的人数占43
      1 要闻	讲习所	广东
