      1 隐瞒和欺骗成为其惯用的伎俩和手段	于是越来越多的	同妻
      1 逆天而行	的理由反对同	性恋婚姻
      1 还有些人以	同性恋不利于香火延续	逆天而行
      1 赵婧怡	2016年5月17日	孙文麟
      1 走进为他们开放的婚姻殿堂	期望那一刻不会太遥远	著作权归作者所有
      1 请开启后重新打开该页面	logo	创作你的创作
      1 评论员	赵婧怡	2016年5月17日
      1 观念中便可见一斑	虽然现代中国人对于性的思想观念较以往更为开放和开明	但对同性恋却仍然存在微词和偏见
      1 虽然现代中国人对于性的思想观念较以往更为开放和开明	但对同性恋却仍然存在微词和偏见	还有些人以
      1 著作权归作者所有	__________________________________________________________________	misc
      1 舆论便炸了锅	有人支持	有人反对
      1 胡明亮在长沙举办公开婚礼	着手策划	100场同性婚礼接力
      1 而我认为婚姻的目的不应该如此功利化	婚姻应该建立在爱情的基础之上	同性恋者也有权利追求自己的爱情和婚姻
      1 给予同性恋者与异性恋者相同的步入婚姻殿堂的权利	期望未来同性恋者	可以不受旁人异样的眼光和非议
      1 繁衍后代	不过是人类为生育找的借口	而我认为婚姻的目的不应该如此功利化
      1 简书作者	2018	03
      1 着手策划	100场同性婚礼接力	活动
      1 的理由反对同	性恋婚姻	我认为
      1 的执行	请开启后重新打开该页面	logo
      1 热门文章	下载简书	创作你的创作
      1 灭人欲	观念中便可见一斑	虽然现代中国人对于性的思想观念较以往更为开放和开明
      1 涌现出来	很	多不知情的同性恋伴侣成为了婚姻中无辜受害者
      1 活动	他们希望借此鼓励更多其他同性恋伴侣	此新闻一经爆出
      1 此新闻一经爆出	舆论便炸了锅	有人支持
      1 此同性婚姻合法化也是对其人权自由的尊重	我国宪法公平公正地对待每一位公民	因此同性恋者不应被排除在外
      1 期望那一刻不会太遥远	著作权归作者所有	__________________________________________________________________
      1 期望未来同性恋者	可以不受旁人异样的眼光和非议	可以光明正大地牵着自己心爱的人的手
      1 有人支持	有人反对	同性恋在我国一直以来都是一个万分敏感的字眼和话题
      1 有人反对	同性恋在我国一直以来都是一个万分敏感的字眼和话题	同性恋者结婚如今还没有被我国民众广泛接受
      1 是时代的召唤	5	33d2da32c552b8be9a0548c7a4576607
      1 接受世界的赞赏	Submit	打开App
      1 承认同性婚姻的合法化	给予同性恋者与异性恋者相同的步入婚姻殿堂的权利	期望未来同性恋者
      1 打开App	评论员	赵婧怡
      1 打开App	热门文章	下载简书
      1 我认为	同性恋婚姻理应合法化	婚姻自由是公民的合法权利
      1 我由衷地期望在不久的将来	我国能响应时代的召唤	承认同性婚姻的合法化
      1 我国至今也没有颁布同性恋婚姻合法化的有关法	律	家庭及社会舆论的压力往往使同性恋者不敢公开承认自己的性取向
      1 我国能响应时代的召唤	承认同性婚姻的合法化	给予同性恋者与异性恋者相同的步入婚姻殿堂的权利
      1 我国宪法公平公正地对待每一位公民	因此同性恋者不应被排除在外	其实
      1 我们有权追求自己的婚姻自由	不论是异性婚姻还是同性婚姻	其实婚姻所谓的神圣的
      1 您的运行环境禁止了	JavaScript	的执行
      1 恋婚姻合法化	世界上越来越多的国家通过了同性恋婚姻合法化的法律	我由衷地期望在不久的将来
      1 性恋婚姻	我认为	同性恋婚姻理应合法化
      1 律	家庭及社会舆论的压力往往使同性恋者不敢公开承认自己的性取向	隐瞒和欺骗成为其惯用的伎俩和手段
      1 很	多不知情的同性恋伴侣成为了婚姻中无辜受害者	中华民族向来是一个既宽容又严厉的民族
      1 幸福地相拥接吻	走进为他们开放的婚姻殿堂	期望那一刻不会太遥远
      1 对伦理规矩却又严格恪守	从南宋朱熹提出的	存天理
      1 家庭及社会舆论的压力往往使同性恋者不敢公开承认自己的性取向	隐瞒和欺骗成为其惯用的伎俩和手段	于是越来越多的
      1 孙文麟	胡明亮在长沙举办公开婚礼	着手策划
      1 存天理	灭人欲	观念中便可见一斑
      1 婚姻自由是公民的合法权利	我们有权追求自己的婚姻自由	不论是异性婚姻还是同性婚姻
      1 婚姻应该建立在爱情的基础之上	同性恋者也有权利追求自己的爱情和婚姻	因
      1 如今世界上越来越多的人认为同性恋不过是人类正常的性取向之一	也有越来越多的国家推进了同性	恋婚姻合法化
      1 多不知情的同性恋伴侣成为了婚姻中无辜受害者	中华民族向来是一个既宽容又严厉的民族	中华传统美德倡导宽恕
      1 因此同性恋者不应被排除在外	其实	同性婚姻合法化已成为一种时代发展的趋势
      1 因	此同性婚姻合法化也是对其人权自由的尊重	我国宪法公平公正地对待每一位公民
      1 和	同夫	涌现出来
      1 同性恋者结婚如今还没有被我国民众广泛接受	我国至今也没有颁布同性恋婚姻合法化的有关法	律
      1 同性恋者也有权利追求自己的爱情和婚姻	因	此同性婚姻合法化也是对其人权自由的尊重
      1 同性恋婚姻理应合法化	婚姻自由是公民的合法权利	我们有权追求自己的婚姻自由
      1 同性恋在我国一直以来都是一个万分敏感的字眼和话题	同性恋者结婚如今还没有被我国民众广泛接受	我国至今也没有颁布同性恋婚姻合法化的有关法
      1 同性恋不利于香火延续	逆天而行	的理由反对同
      1 同性婚姻合法化已成为一种时代发展的趋势	如今世界上越来越多的人认为同性恋不过是人类正常的性取向之一	也有越来越多的国家推进了同性
      1 同性婚姻合法化	是时代的召唤	5
      1 同妻	和	同夫
      1 同夫	涌现出来	很
      1 可以光明正大地牵着自己心爱的人的手	幸福地相拥接吻	走进为他们开放的婚姻殿堂
      1 可以不受旁人异样的眼光和非议	可以光明正大地牵着自己心爱的人的手	幸福地相拥接吻
      1 创作你的创作	接受世界的赞赏	Submit
      1 创作你的创作	免费下载	同性婚姻合法化
      1 创作你的创作		
      1 其实婚姻所谓的神圣的	繁衍后代	不过是人类为生育找的借口
      1 其实	同性婚姻合法化已成为一种时代发展的趋势	如今世界上越来越多的人认为同性恋不过是人类正常的性取向之一
      1 免费下载	同性婚姻合法化	是时代的召唤
      1 但对同性恋却仍然存在微词和偏见	还有些人以	同性恋不利于香火延续
      1 他们希望借此鼓励更多其他同性恋伴侣	此新闻一经爆出	舆论便炸了锅
      1 从南宋朱熹提出的	存天理	灭人欲
      1 于是越来越多的	同妻	和
      1 也有越来越多的国家推进了同性	恋婚姻合法化	世界上越来越多的国家通过了同性恋婚姻合法化的法律
      1 中华民族向来是一个既宽容又严厉的民族	中华传统美德倡导宽恕	对伦理规矩却又严格恪守
      1 中华传统美德倡导宽恕	对伦理规矩却又严格恪守	从南宋朱熹提出的
      1 世界上越来越多的国家通过了同性恋婚姻合法化的法律	我由衷地期望在不久的将来	我国能响应时代的召唤
      1 不过是人类为生育找的借口	而我认为婚姻的目的不应该如此功利化	婚姻应该建立在爱情的基础之上
      1 不论是异性婚姻还是同性婚姻	其实婚姻所谓的神圣的	繁衍后代
      1 下载简书	创作你的创作	
      1 Submit	打开App	评论员
      1 Submit	打开App	热门文章
      1 png	创作你的创作	接受世界的赞赏
      1 misc	logo	805143dd
      1 logo	创作你的创作	免费下载
      1 logo	805143dd	png
      1 jpg	Jane_ghj	简书作者
      1 JavaScript	的执行	请开启后重新打开该页面
      1 Jane_ghj	简书作者	2018
      1 805143dd	png	创作你的创作
      1 5	33d2da32c552b8be9a0548c7a4576607	jpg
