      2 税收	遗产	生养子女以及做出医疗决定的权利
      1 骄傲节	同志大	游行等都搞得有声有色
      1 首先我们要了解它准确的概念	这样有助于我们理解为什么要这样做	为什么大陆当下又不能这样做
      1 首先	人权	人生而平等
      1 领导人	蔡英文的支持	在岛内外也深得人心
      1 非常完备的制度基础	180	图片来自网络
      1 集会结社和游行示威自由等基本人权保障的背景下	台湾同志非政府组织的活动一直十分活跃	骄傲节
      1 随着社会发展	思想开放	这种追求性向平等的诉求声会越来越大
      1 问题	在婚姻平权问题逐渐得到全台人关注的2016年	大陆也有了一些新进展
      1 问卷统计来自韩蕊	上图为其中一题	据抽样调查统计
      1 重庆	广东	湖南
      1 都更容易实现同性婚姻合法化	180	统计图由张柳根据2016年数据制作
      1 都是来源于宗教群体中较为保守的力量	180	图片为谷歌撤销反同性恋游戏
      1 都是我们	身边的人	180
      1 都排不上队	少数人的利益的事情	很难
      1 都应该平等享有婚姻的权利	也就是说	结婚与否应该由自己决
      1 那各方面的歧视也很难站住脚了	观点来自我国著名性学家	社会学家李银河教授
      1 那么这些权利也受不到任何保护	180	图片来自网络
      1 那么同性婚姻对于其他人来说就不	是当务之急	这个特殊的问题跟大多数问题比
      1 遗产	生养子女以及做出医疗决定的权利	简而言之
      1 遗产	生养子女以及做出医疗决定的权利	在同性婚姻的支持者中
      1 遇和责任表示认可	这些权利包括经济	税收
      1 通常	婚姻是组成家庭的基础和根据	是家庭成立的标志
      1 通俗意义上说的名分问题	更加是权利保障的问题	首先
      1 连婚姻都合法了	那各方面的歧视也很难站住脚了	观点来自我国著名性学家
      1 这让大家感觉到	同性恋以及LGBTQ团体	并不是那么神秘
      1 这被称作中国	同性婚姻维权第一案	180
      1 这篇文章从名词解释	全球背景以及我们所收到的182份问卷的出发	分析大陆离成为同性婚姻合法化的社会还有多远
      1 这种追求性向平等的诉求声会越来越大	大陆环境中阻碍同性婚姻合法化的因素	1
      1 这种结合通常以婚礼的方式来对外宣告其正	式成立	通常
      1 这样有助于我们理解为什么要这样做	为什么大陆当下又不能这样做	尊重真相和本质
      1 这是一项无比浩大的工程	这个工程需要	非常完备的制度基础
      1 这使得同志群体和同志文化能够积极地曝光在普通人的眼前	这让大家感觉到	同性恋以及LGBTQ团体
      1 这代表着	有很大一部分人不了解也不在乎这个有些与众不同的群体	3
      1 这些权利包括经济	税收	遗产
