     13 中文	台灣
     11 2016	12
     10 2016	08
     10 08	03
      9 alternate	alternate
      9 2017	05
      8 same	sex
      8 of	same
      8 12	10
      7 雙方親自申請	雙方親自申請
      7 無配偶	無配偶
      7 年滿20歲	年滿20歲
      7 sex	unions
      7 2013	11
      6 英语	Recognition
      6 同性婚姻法	草案
      6 unions	in
      6 Recognition	of
      5 蘋果日報	2016
      5 2015	12
      4 论	编
      4 英语	Same
      4 查	论
      4 一方	一方
      4 Same	sex
      4 gov	tw
      4 2015	07
      4 12	26
      4 12	11
      4 10	25
      4 05	24
      4 01	2016
      3 英语	LGBT
      3 愛最大	其實我們都一樣
      3 其第10	5
      3 仍屬法律位階	不得牴觸憲法
      3 人權基本法	草案
      3 中華民國全國性公民投票	其第10
      3 中央研究院	台灣社會變遷基本調查計畫
      3 rights	in
      3 PDF	2016
      3 LGBT	rights
      3 5	12
      3 26	中文
      3 2017	6
      3 2016	10
      3 2016	05
      3 2016	04
      3 2014	12
      3 12	6
      3 12	22
      3 06	中文
      3 05	06
      2 黃惠偵	四叉貓
      2 雙方	一方
      2 讓生命不再逝去	為婚姻平權站出來
      2 誘導式	題目來操弄民調數據
      2 蘋果日報	2015
      2 草案	決定不將其排入議事程序
      2 草案	共獲得38位立委贊成連署
      2 草案	19
      2 自由時報電子報	2018
      2 程序委員會退回	同性婚姻法
      2 決定不將其排入議事程序	23
      2 民進黨政府的總統府人權諮詢委員會通過了	人權基本法
      2 案通過	同性婚姻不直接修改民法
      2 有些專家批評此一調查刻意以	誘導式
      2 政治	自由時報電子報
      2 據此程序審議完成之法律	仍屬法律位階
      2 婦女新知基金會	現代婦女基金會
      2 婚姻平權民法修正草案	立院初審通過
      2 婚姻平權	基本人權
      2 女人迷	womany
      2 墨西哥	墨西哥城
      2 四叉貓	陳志明
      2 同光同志長老教會	真光福音教會
      2 台灣社會變遷基本調查計畫	119
      2 原始内容存档于2015	12
      2 其中陳銀河同時加入贊成連署與反對連署	因此草案無法通過一讀會程序
      2 共獲得38位立委贊成連署	22
      2 公視	2014
      2 中華民國	臺灣
      2 中央社	2016
      2 上報	2016
      2 tw	2016
      2 sex	union
      2 sex	marriage
      2 in	the
      2 flag	svg
      2 8	的支持度
      2 6	案通過
      2 6	2
      2 45	4
      2 43	3
      2 30	2016
      2 3	支持
      2 24	2017
      2 23	1
      2 21	11
      2 2018年11月24日	中華民國全國性公民投票
      2 2018	05
      2 2017	08
      2 2016	03
      2 2016	02
      2 2016	01
      2 2015	05
      2 2014	08
      2 2013	12
      2 2013	10
      2 2013	01
      2 2009	10
      2 2006	10
      2 2	有些專家批評此一調查刻意以
      2 19	20
      2 14	2016
      2 12	03
      2 12	02
      2 11月29日司法院聲明公民投票案創制之立法原則	據此程序審議完成之法律
      2 11	30
      2 11	19
      2 11	10
      2 10月31日	程序委員會退回
      2 106	107
      2 10	原始内容存档于2015
      2 1	同性婚姻法
      2 08	10
      2 05	25
      2 05	12
      2 04	01
      2 01	23
      1 黑箱作業	法律修改將導致
      1 黃聖峰	多元成家方案
      1 黃國昌	許秀雯
      1 黃國堯	許秀雯
      1 魯凱族女同志婚姻	25
      1 魁北克	薩斯喀徹溫
      1 高雄開放同志伴侶註記	蘋果日報
      1 高雄市政府受理戶政系統同性伴侶註記	為第一個開放註記的地方縣市
      1 高雄市政府受理戶政系統	同性伴侶
      1 高雄市政府	高雄市各戶政事務所受理申請及刪除同性伴侶關係所
      1 高雄市各戶政事務所受理申請及刪除同性伴侶關係所	內註記實施計畫
      1 高雄市	70
      1 高雄夢時代廣場等地同步舉辦	百萬家庭站出來
