      8 Image	caption
      5 2017年	5月
      3 微博	分享平台
      3 图片版权	Getty
      3 分享平台	微博
      3 分享平台	人人网
      3 人人网	分享平台
      3 News	中文
      3 Images	Image
      3 Getty	Images
      3 2016年	12月
      2 音频材料	视频材料
      2 这是外部链接	浏览器将打开另一个窗口
      2 财经	图辑
      2 豆瓣	LinkedIn
      2 评论	科技
      2 视频材料	BBC英伦网
      2 英国	评论
      2 科技	财经
      2 禁止同性结婚违宪	台湾大法官做出判决
      2 特写	台湾婚姻平权法案续审
      2 正反两方	难有交集
      2 微博	QQ
      2 开心网	微博
      2 图辑	音频材料
      2 图片版权	AFP
      2 国际	两岸
      2 台湾婚姻平权法案续审	正反两方
      2 台湾同婚推手祁家威	我不是自己要结婚
      2 分类	主页
      2 分享平台	电邮
      2 分享平台	Messenger
      2 人人网	开心网
      2 主页	国际
      2 中文	导航
      2 两岸	英国
      2 Weather	Radio
      2 Twitter	人人网
      2 Sport	Weather
      2 Radio	Arts
      2 QQ	Plurk
      2 Plurk	豆瓣
      2 Pink	Dot
      2 News	Sport
      2 Messenger	分享平台
      2 Messenger	Twitter
      2 Messenger	Messenger
      2 LinkedIn	WhatsApp
      2 Facebook	Messenger
      2 BBC	News
      2 AFP	Image
      2 5月	24日
      1 魏余雪奕认为中国政府对同性恋采取	容忍
      1 魏余雪奕表示	马来西亚受到穆斯林文化影响
      1 魏余雪奕表示	很难预测下一个亚洲国家会是哪里
      1 魏余雪奕介绍亚洲各国同性权益的概况	强调同志平权
      1 马来西亚受到穆斯林文化影响	民风保守
      1 马来西亚受伊斯兰教文化影响	民风保守
      1 马来西亚则有86	宗教是同性恋被社会接纳与否的重要因素
      1 马来西亚	图片版权
      1 预言成真	自动绑鞋带球鞋问世
      1 集会被限制	亚洲其他地方的同志权益又是如何
      1 难有交集	各国对同志接受程度如何
      1 难有交集	2016年
      1 隐私政策	Cookies
      1 链接政策的处理办法	
      1 释宪判决宣布	反应热烈
      1 都属犯罪行为	违法者可面对最长两年监禁
      1 选项	英文
      1 违法者可面对最长两年监禁	这一法律来自英国殖民政府遗留的反同性恋条文
      1 这项	裁决使得台湾在同性婚姻合法化的进程中为亚洲第一
      1 这次鞭刑在亚齐首府班达亚齐一座清真寺旁边执行	在印尼唯一一个执行伊斯兰教法
      1 这是中国法院首次同意审理有关同性婚姻的案件	男同志孙文麟起诉湖南省长沙市芙蓉区民政局以一男
      1 这一法律来自英国殖民政府遗留的反同性恋条文	最初于1938年被加入刑法法典
      1 还有哪些国家仍在实施鞭刑	2017年
      1 返回页首	更多有关此项报道的内容
      1 趣闻轶事	创意励志
      1 越南的同性平权运动及社会接受度越来越高	有可能成为下一个推进同婚的地方
      1 越南的同志运动近年来蓬勃发展	社会接受度提高
