      1 难道这个也有错	这个也值得我们去歧视	记得曾经看过LZ
      1 阅读	投诉	推荐阅读
      1 金庸	恐怖袭击	留学签证
      1 里面的话作为例子	性是爱的生理学基础	人之所以有爱就是由于有性
      1 都有它存在的意义	那我们来看一下关于爱情的官方阐释	毕竟有时候带有主观色彩的臆断
      1 都有它存在的意义	这两天在网上看到一则题为	台湾同性婚姻是否合法化引争议
      1 那我们来看一下关于爱情的官方阐释	毕竟有时候带有主观色彩的臆断	往往带有偏向性
      1 那就是你的不对了	现在网上流行一种嫁给爱情的说法	以前也有一种我希望能和你有一段从校服到婚纱的爱情的段子
      1 那场演讲留给我印象很深的一小段	LZ	说当很多人提到同性恋的时候他们不会想太多
      1 那么首先	他	她
      1 那么这段感情不能被大家认可吗	如果是这样	我们是不是就有一种只许州官放火不许百姓点灯的意味
      1 那么这时候换个角度来想想	如果两个同性一见钟情	两个人都感受到了大众所认为的那种爱情的幸福感
      1 那么这份感情就是值得存在的	没有什么不可以或者不好	如果一味带着偏见和有色眼镜去看待事情
      1 那么还有一个词叫做真爱	官方有给出这样的解释	真爱是一种从内心发出的关心和照顾
      1 那么很多美好的东西终究会被我们自己扼杀	也可能不经意间毁掉别人本应该得到的幸福	返回搜狐
      1 那么就在	一起	还管它爱情是什么东西干嘛
      1 那么今天小编就跟大家来聊聊同性恋的	这个话题	在中国传统的婚姻观念中
      1 那么	又有多少人真正理解了爱情	可能也有的人会说
      1 退一万步说	就算是全世界都鄙视同性恋	不同意同性恋婚姻的合法化
      1 进入搜狐首页	意见反馈	
      1 进入搜狐首页	今日推荐	进入搜狐首页
      1 这种说法的确没毛病	那么这时候换个角度来想想	如果两个同性一见钟情
      1 这种说法有道理吗	的确	它有它的道理
      1 这种偏向性的存在	也往往造成某种不公平的现象	关于爱情的定义
      1 这是什么不妥的事情吗	朋友亲人之间也可以有这些感情上的表现	只不过可能同性恋之间的这种感情更加强烈
      1 这似乎也没什么值得讽刺的吧	科学里面解释了当两个人之间产生爱情时两个人的生理变化	两个两情相悦的同性的人在遇到彼此以后荷尔蒙飙升
      1 这些词语里都包含着男和女	而我们没有看到男欢男爱	或者女女情长
      1 这个话题	在中国传统的婚姻观念中	男方成家立业后要养家糊口
      1 这个也值得我们去歧视	记得曾经看过LZ	Granderson在Ted英语演讲
      1 这两天在网上看到一则题为	台湾同性婚姻是否合法化引争议	吴敦义拟支持
      1 这世界上所存在的每一种真正的爱情	都有它存在的意义	那我们来看一下关于爱情的官方阐释
