     21 7	4
     21 2015	7
     10 60_avatar_small	jpg
      9 解滨	2015
      9 回复	解滨
      8 4	05
      6 jpg	7
      6 jpg	5
      6 7	回复
      6 5	回复
      6 4	02
      5 jpg	6
      5 6	回复
      4 4	01
      4 20	gif
      3 肯定他们的权利	不希望歧视他们
      3 俺只是不希望同性恋人们做的太过分而已	肯定他们的权利
      2 非要结婚	婚姻是神圣的应该属于男与女
      2 违背自然规律	既然是同性
      2 还一个装男一个装女	是一个真正的男真正的女不好吗
      2 解滨	俺只是不希望同性恋人们做的太过分而已
      2 美国大部分法律是由国会制定	总统签字才可生效
      2 眼不见为净吧	20
      2 登录	注册
      2 现在还不会太过分	别着急
      2 照片一级棒	16
      2 没有自己独立见解	我觉得与我没关系
      2 没办法	享受美国的自由民主
      2 毕竟人类已经繁衍得太多	地球承受不了啦
      2 概念清晰	我个人的态度也和大侠一样
      2 最高法院的责任是解释法律	不是制定法律
      2 最高法院开了一个非常不好的先例	最高法院的责任是解释法律
      2 是一个真正的男真正的女不好吗	同性的变异人类
      2 既然是同性	还一个装男一个装女
      2 我觉得与我没关系	各过各得
      2 我同意翻老的意见	也接受大侠的分析
      2 我个人的态度也和大侠一样	可以做到不歧视
      2 慢慢来	同性婚姻合法化只是第一步
      2 总统签字才可生效	这次最高法院明显越权
      2 心灵扭曲	违背自然规律
      2 就要忍受他的令人恶心的一面	眼不见为净吧
      2 坚决支持大侠	合情合理
      2 地球承受不了啦	3
      2 同性的变异人类	别污染正常人的视觉
      2 同性婚姻合法化只是第一步	以后会反向歧视的
      2 同居也就罢了	非要结婚
      2 合情合理	概念清晰
      2 各过各得	我认识两对中国来的女孩都是同性恋
      2 可以做到不歧视	但绝不接受和欣赏鼓励同性恋
      2 别着急	慢慢来
      2 以后会反向歧视的	政客们为了选票推波助澜
      2 从另一个角度来看或许是件好事	毕竟人类已经繁衍得太多
      2 人类传统社会解体的先兆	20
      2 享受美国的自由民主	就要忍受他的令人恶心的一面
      2 也接受大侠的分析	没有自己独立见解
      2 不是制定法律	美国大部分法律是由国会制定
      2 www	backchina
      2 jpg	8
      2 gif	是否送花还没决定
      2 gif	从另一个角度来看或许是件好事
      2 gif	60_avatar_small
      2 backchina	com
      2 88_avatar_small	jpg
      2 8	回复
      2 4	04
      2 3	gif
      2 2001	2013
      2 16	gif
      2 05	36
      1 鲜花	刚表态过的朋友
      1 高兴	感动
      1 首页Portal	新闻
      1 首页	日志
      1 食品	出售的
      1 飞机是用来飞	在天空的
      1 页123	7
      1 音乐欣赏	自吟自唱
      1 非生殖群	例如
      1 非正式结合	完全满足以上两条
      1 非常精彩的半决赛	afreeleaf
      1 零点的火车	ISIS对中国宣战给中国带来新的安全威胁
      1 雪的烟花	56_avatar_small
      1 难道就因为他们不能生殖后代吗	我们知道
      1 难过	1
