      3 同性婚姻合法化之後	社會會變成甚麼樣子	來看國外的統計分析結果
      3 The	News	Lens
      2 香港	INTL	東南亞
      2 隱私條款	使用條款	廣告內容政策
      2 臺灣	香港	INTL
      2 編輯獨立聲明	隱私條款	使用條款
      2 生育率	守護家庭聯盟	婦女同心會
      2 新聞	評論	影音
      2 插畫	圖輯	特別報導
      2 提倡尊重不同的性少數	性傾向的價值	提升人民對於不同性別
      2 愛滋病	性別教育	Submit
      2 性別教育	Submit	More
      2 尤美女	生育率	守護家庭聯盟
      2 守護家庭聯盟	婦女同心會	愛滋病
      2 婦女同心會	愛滋病	性別教育
      2 圖輯	特別報導	品牌聯名頻道
      2 唸給你聽	powered	by
      2 同性戀	尤美女	生育率
      2 同性婚姻	同性戀	尤美女
      2 一張圖看懂全球195國	同性婚姻	走到哪一步2年前
      2 WORTH	SHARING	分享觀點從這開始
      2 WORTH	KNOWING	VOICES
      2 VOICES	WORTH	SHARING
      2 Tags	同性婚姻	同性戀
      2 powered	by	Cyberon
      2 NEWS	WORTH	KNOWING
      2 KNOWING	VOICES	WORTH
      2 by	Cyberon	Loader
      1 黃國昌	支持同婚絕不動搖1年前	資訊圖表
      1 高度開發	國家	包括2006年接連通過同性伴侶擁有伴侶權及婚姻權的南非
      1 馬力歐陪你喝一杯	2016	12
      1 香港	HK	國際
      1 首先	反同陣線對於同性婚姻合法化的第一個疑慮	便是同性之間可以結婚將會降低生育率
      1 類別	教育	Education
      1 難有交集	贊成方從基本人權	法治觀點等角度回應
      1 雖然這種說法是一種滑坡謬	誤	實際上
      1 雖然我們知道天災常以人禍的形式對人們的生命	財產產生威脅	但這是透過社會中既有的不平等分布
      1 附註	一	Wang
      1 阿根廷及美國同婚通過後國家總生育率	表1	南非
      1 阿根廷及美國同婚通過後國家總生育率	反對同婚者循著全球發展程度的角度	指出通過同性婚姻的都是高度發展的國家
      1 阿根廷	美國三國直接通過同性婚姻合法化	但同婚合法化並沒有因而造成該國社會動盪
      1 關鍵評論網	IFRAME	www
      1 關鍵評論	新聞	評論
      1 關於我們	徵人	聯絡我們
      1 關於我們	專欄作者	官方部落格
      1 關係	說不定反而有助於降低不安全性行為發生的可能性	打造更友善的性別空間
      1 闕士淵	Tags	同性婚姻
      1 鄭雁馨老師	周亞萱小姐	楊芷蘭小姐提供相關資料及文章書寫的建議
      1 都稱不上是高度發展的國家	該年度的人均GDP甚至都遠低於台灣目前的人均	GDP
      1 都宣稱	同性婚姻不具自然生育的可能性	不利於台灣的家庭延續與人口發展
      1 都不因同性婚姻合法化與否而改變	因為	性行為與愛滋病
