      2 直到最后完成	建议在修改	婚姻法
      2 期间改了写	写了又改	共三次提交
      2 建议在修改	婚姻法	时增加关于同性婚姻的条款
      2 写了又改	共三次提交	直到最后完成
      2 共三次提交	直到最后完成	建议在修改
      2 1	渊源	2
      2 ____________________	BUTTON	进入词条
      1 首页	历史上的今天	百科冷知识
      1 音乐	图片	视频
      1 非遗百科	百度数说	城市百科
      1 隐私政策	百度百科合作平台	京ICP证030173号
      1 附提案全文	豆瓣	2015
      1 锁定	同性婚姻提案	此提案是由李银河博士所拟
      1 鉴于同性恋者属于少数族群	许多国家已设立反歧视的保护性法规	截止至2015年
      1 迫于宗教压力在关于同性恋的立法上进展十分艰难	而中国文化具有宽容同性恋	的历史传统
      1 进入词条	清除历史记录关闭	编辑
      1 进入词条	BUTTON	全站搜索帮助
      1 这是我们在人权方面可以得分的一个有利背景	应善加利用	第三
      1 这是因为人口中	有这样大的一个人群不生育	将对国家的人口状况产生直接影响
      1 这将是中国在保护少数族群利益	反对歧视立法方面的巨大成就	同时这也表达了
      1 这些同性恋者大多数会同异性结婚生育	如果他们可以与同性结为生活伴侣	将有这样大的一个人群不生育
      1 这一要求与宪法没有冲突	应该得到承认	第二
      1 较晚的有法国和德国	如果我国能够实现同性婚姻合法化	这将是中国在保护少数族群利益
      1 较早的有澳大利亚及北欧国	家	美国的部分州
      1 赞	登录	分享
      1 贴吧	知道	音乐
      1 豆瓣	2015	03
      1 请勿上当受骗	详情	首页
      1 详情	首页	历史上的今天
      1 词条统计	浏览次数	次
      1 词条标签	社会	法律
      1 词条创建和修改均免费	绝不存在官方及代理商付费代编	请勿上当受骗
      1 许多国家已设立反歧视的保护性法规	截止至2015年	西方许多国家已陆续承认了同性婚姻
      1 视频	地图	文库
      1 西方许多国家已陆续承认了同性婚姻	较早的有澳大利亚及北欧国	家
      1 蝌蚪团	燃梦计划	百科任务
      1 艺术	科学	自然
      1 自然	文化	地理
      1 联系方式	个人中心	收藏
      1 而承认同性婚姻则可以使相当一部分同性	恋者建立和保持长期关系	减少短期关系
      1 而人口稀少的国家对同性恋则比较严厉	这是因为人口中	有这样大的一个人群不生育
      1 而中国文化具有宽容同性恋	的历史传统	这是我们在人权方面可以得分的一个有利背景
      1 美国的部分州	较晚的有法国和德国	如果我国能够实现同性婚姻合法化
      1 网页	新闻	贴吧
      1 网易网	2008	03
      1 编辑规则	本人编辑	new
      1 编辑次数	8次历史版本	最近更新
      1 编辑入门	编辑规则	本人编辑
      1 编辑	锁定	同性婚姻提案
      1 编辑	第一	根据现行法律
      1 编辑	此提案	1
      1 编辑	收藏	赞
      1 绝不存在官方及代理商付费代编	请勿上当受骗	详情
      1 经济	体育	历史
      1 第四	从历史和跨文化的研究看	凡是人口增长压力较大的国家
      1 第五	我国有保护少数民族群和弱势群体利益方面的成功经验	如在保护少数民族利益
      1 第二	鉴于同性恋者属于少数族群	许多国家已设立反歧视的保护性法规
      1 第三	由于同性恋者的关系没有婚姻形式加以束缚和保障	容易造成一部分同性恋者交友随意
      1 第一	根据现行法律	同性恋行为不违反中国法律
      1 秒懂看瓦特	秒懂五千年	秒懂全视界
      1 秒懂百科	秒懂少儿APP	秒懂星课堂
      1 秒懂星课堂	秒懂大师说	秒懂看瓦特
      1 秒懂少儿APP	秒懂星课堂	秒懂大师说
      1 秒懂大师说	秒懂看瓦特	秒懂五千年
      1 秒懂全视界	特色百科	数字博物馆
      1 秒懂五千年	秒懂全视界	特色百科
      1 科学	自然	文化
      1 社会	法律	9922720e0cf3d7ca14c3c672f41fbe096b63a9f9
      1 社会	人物	经济
      1 知道	音乐	图片
      1 目录	1	1
      1 的历史传统	这是我们在人权方面可以得分的一个有利背景	应善加利用
      1 百科词条人人可编辑	词条创建和修改均免费	绝不存在官方及代理商付费代编
      1 百科商城	权威合作	合作模式
      1 百科协议	隐私政策	百度百科合作平台
      1 百科冷知识	图解百科	分类
      1 百科任务	百科商城	权威合作
      1 百科	____________________	BUTTON
      1 百度首页	网页	新闻
      1 百度百科合作平台	京ICP证030173号	copy_rignt_24
      1 百度数说	城市百科	恐龙百科
      1 登录	分享	分享到微信朋友圈
      1 男女同性恋人口在人群中会占到3	4	在中国就是3900万
      1 由于同性恋者的关系没有婚姻形式加以束缚和保障	容易造成一部分同性恋者交友随意	增加性病传播的可能性
      1 由	于没有同性婚姻法	这些同性恋者大多数会同异性结婚生育
      1 用户	蝌蚪团	燃梦计划
      1 生活	社会	人物
      1 理由	猜你关注	新手上路
      1 理由	同性婚姻提案渊源	编辑
      1 猜你关注	新手上路	成长任务
      1 独立的法规	准许同性婚姻	中文名
      1 特色百科	数字博物馆	非遗百科
      1 特别是天主教国家	迫于宗教压力在关于同性恋的立法上进展十分艰难	而中国文化具有宽容同性恋
      1 燃梦计划	百科任务	百科商城
      1 渊源	2	理由
      1 渊源	2	2
      1 清除历史记录关闭	编辑	收藏
      1 清除历史记录关闭	声明	百科词条人人可编辑
      1 浏览次数	次	编辑次数
      1 法律	9922720e0cf3d7ca14c3c672f41fbe096b63a9f9	jpg
      1 此提案是由李银河博士所拟	期间改了写	写了又改
      1 此提案	1	是由李银河博士所拟
      1 次	编辑次数	8次历史版本
      1 根据现行法律	同性恋行为不违反中国法律	同性恋者是具有各项权利的中华人民共和国公民
      1 查看我的收藏	0	有用
      1 某些西方国家	特别是天主教国家	迫于宗教压力在关于同性恋的立法上进展十分艰难
      1 李银河再次向全国两会转交	同性婚姻提案	网易网
      1 权威合作	合作模式	常见问题
      1 本人编辑	new	我有疑问
      1 未通过词条申诉	投诉侵权信息	封禁查询与解封
      1 有这样大的一个人群不生育	将对国家的人口状况产生直接影响	据统计
      1 有用	1	已投票
      1 有利于我国的人口控制	第五	我国有保护少数民族群和弱势群体利益方面的成功经验
      1 最近更新	w_ou	2018
      1 是由李银河博士所拟	期间改了写	写了又改
      1 时增加关于同性婚姻的条款	或设立独立的法规	准许同性婚姻
      1 时增加关于同性婚姻的条款	或设立	独立的法规
      1 新闻	贴吧	知道
      1 新手上路	成长任务	编辑入门
      1 文库	百科	____________________
      1 文化	地理	生活
      1 数字博物馆	非遗百科	百度数说
      1 收藏	赞	登录
      1 收藏	查看我的收藏	0
      1 据统计	男女同性恋人口在人群中会占到3	4
      1 投诉建议	举报不良信息	未通过词条申诉
      1 投诉侵权信息	封禁查询与解封	2019
      1 扫一扫	即可将网页分享至朋友圈	
      1 打开微信	扫一扫	即可将网页分享至朋友圈
      1 截止至2015年	西方许多国家已陆续承认了同性婚姻	较早的有澳大利亚及北欧国
      1 或设立独立的法规	准许同性婚姻	2
      1 或设立	独立的法规	准许同性婚姻
      1 我有疑问	内容质疑	在线客服
      1 我国有保护少数民族群和弱势群体利益方面的成功经验	如在保护少数民族利益	保护妇女儿童利益方面都属于世界领先地位
      1 成长任务	编辑入门	编辑规则
      1 意见反馈	投诉建议	举报不良信息
      1 恐龙百科	多肉百科	用户
      1 恋者建立和保持长期关系	减少短期关系	从而减少性病传播的可能性
      1 引用日期2018	05	29
      1 引用日期2015	08	01
      1 应该得到承认	第二	鉴于同性恋者属于少数族群
      1 应善加利用	第三	由于同性恋者的关系没有婚姻形式加以束缚和保障
      1 常见问题	联系方式	个人中心
      1 已投票	0	同性婚姻提案
      1 将有这样大的一个人群不生育	有利于我国的人口控制	第五
      1 将对国家的人口状况产生直接影响	据统计	男女同性恋人口在人群中会占到3
      1 封禁查询与解封	2019	Baidu
      1 对同性恋一般都采取比较宽容的政策	而人口稀少的国家对同性恋则比较严厉	这是因为人口中
      1 容易造成一部分同性恋者交友随意	增加性病传播的可能性	而承认同性婚姻则可以使相当一部分同性
      1 家	美国的部分州	较晚的有法国和德国
      1 官方贴吧	意见反馈	投诉建议
      1 婚姻法	时增加关于同性婚姻的条款	或设立独立的法规
      1 婚姻法	时增加关于同性婚姻的条款	或设立
      1 如果我国能够实现同性婚姻合法化	这将是中国在保护少数族群利益	反对歧视立法方面的巨大成就
      1 如果他们可以与同性结为生活伴侣	将有这样大的一个人群不生育	有利于我国的人口控制
      1 如在保护少数民族利益	保护妇女儿童利益方面都属于世界领先地位	参考资料
      1 多肉百科	用户	蝌蚪团
      1 外文名	Gay	marriage
      1 声明	百科词条人人可编辑	词条创建和修改均免费
      1 增加性病传播的可能性	而承认同性婚姻则可以使相当一部分同性	恋者建立和保持长期关系
      1 城市百科	恐龙百科	多肉百科
      1 地理	生活	社会
      1 地图	文库	百科
      1 在线客服	官方贴吧	意见反馈
      1 在中国就是3900万	5200万人	由
      1 图集	同性婚姻提案图册	V百科往期回顾
      1 图解百科	分类	艺术
      1 图片	视频	地图
      1 同时这也表达了	先进文化的发展方向与和谐社会的根本要求	某些西方国家
      1 同性恋行为不违反中国法律	同性恋者是具有各项权利的中华人民共和国公民	同性恋者当中有人有结婚的要求
      1 同性恋者是具有各项权利的中华人民共和国公民	同性恋者当中有人有结婚的要求	这一要求与宪法没有冲突
      1 同性恋者当中有人有结婚的要求	这一要求与宪法没有冲突	应该得到承认
      1 同性婚姻提案理由	编辑	第一
      1 同性婚姻提案渊源	编辑	此提案
      1 同性婚姻提案图册	V百科往期回顾	词条统计
      1 同性婚姻提案	网易网	2008
      1 同性婚姻提案	编辑	锁定
      1 同性婚姻提案	此提案是由李银河博士所拟	期间改了写
      1 同性婚姻提案	外文名	Gay
      1 合作模式	常见问题	联系方式
      1 反对歧视立法方面的巨大成就	同时这也表达了	先进文化的发展方向与和谐社会的根本要求
      1 参考资料	1	2015李银河再提同性婚姻提案
      1 历史上的今天	百科冷知识	图解百科
      1 历史	秒懂百科	秒懂少儿APP
      1 即可将网页分享至朋友圈		
      1 分类	艺术	科学
      1 分享到微信朋友圈	打开微信	扫一扫
      1 分享	分享到微信朋友圈	打开微信
      1 凡是人口增长压力较大的国家	对同性恋一般都采取比较宽容的政策	而人口稀少的国家对同性恋则比较严厉
      1 减少短期关系	从而减少性病传播的可能性	第四
      1 准许同性婚姻	中文名	同性婚姻提案
      1 准许同性婚姻	2	同性婚姻提案理由
      1 内容质疑	在线客服	官方贴吧
      1 全站搜索帮助	清除历史记录关闭	声明
      1 先进文化的发展方向与和谐社会的根本要求	某些西方国家	特别是天主教国家
      1 保护妇女儿童利益方面都属于世界领先地位	参考资料	1
      1 使用百度前必读	百科协议	隐私政策
      1 体育	历史	秒懂百科
      1 从而减少性病传播的可能性	第四	从历史和跨文化的研究看
      1 从历史和跨文化的研究看	凡是人口增长压力较大的国家	对同性恋一般都采取比较宽容的政策
      1 人物	经济	体育
      1 京公网安备11000002000001号	____________________	BUTTON
      1 京ICP证030173号	copy_rignt_24	png
      1 于没有同性婚姻法	这些同性恋者大多数会同异性结婚生育	如果他们可以与同性结为生活伴侣
      1 举报不良信息	未通过词条申诉	投诉侵权信息
      1 中文名	同性婚姻提案	外文名
      1 个人中心	收藏	查看我的收藏
      1 w_ou	2018	08
      1 V百科往期回顾	词条统计	浏览次数
      1 Submit	图集	同性婚姻提案图册
      1 proposal	目录	1
      1 png	京公网安备11000002000001号	____________________
      1 new	我有疑问	内容质疑
      1 marriage	proposal	目录
      1 jpg	Submit	图集
      1 Gay	marriage	proposal
      1 copy_rignt_24	png	京公网安备11000002000001号
      1 BUTTON	进入词条	清除历史记录关闭
      1 BUTTON	进入词条	BUTTON
      1 BUTTON	全站搜索帮助	清除历史记录关闭
      1 Baidu	使用百度前必读	百科协议
      1 9922720e0cf3d7ca14c3c672f41fbe096b63a9f9	jpg	Submit
      1 8次历史版本	最近更新	w_ou
      1 5200万人	由	于没有同性婚姻法
      1 4	在中国就是3900万	5200万人
      1 29	2	李银河再次向全国两会转交
      1 2019	Baidu	使用百度前必读
      1 2018	08	16
      1 2015李银河再提同性婚姻提案	附提案全文	豆瓣
      1 2015	03	04
      1 2008	03	12
      1 2	理由	猜你关注
      1 2	理由	同性婚姻提案渊源
      1 2	李银河再次向全国两会转交	同性婚姻提案
      1 2	同性婚姻提案理由	编辑
      1 2	2	理由
      1 16	1	渊源
      1 12	引用日期2015	08
      1 1	是由李银河博士所拟	期间改了写
      1 1	已投票	0
      1 1	2015李银河再提同性婚姻提案	附提案全文
      1 1	1	渊源
      1 08	16	1
      1 08	01	词条标签
      1 05	29	2
      1 04	引用日期2018	05
      1 03	12	引用日期2015
      1 03	04	引用日期2018
      1 01	词条标签	社会
      1 0	有用	1
      1 0	同性婚姻提案	编辑
