      5 the	Marriage	Amendment
      5 Religious	Freedoms	Bill
      5 Marriage	Amendment	Definition
      5 House	in	Canberra
      5 Freedoms	Bill	2017
      5 Definition	and	Religious
      5 and	Religious	Freedoms
      5 Amendment	Definition	and
      4 the	House	of
      4 td_section	lifestyle	gay
      4 td_device	desktop	td_part
      4 Sir	Peter	Cosgrove
      4 promo	td_device	desktop
      4 Prime	Minister	Malcolm
      4 news	com	au
      4 Minister	Malcolm	Turnbull
      4 index	promo	td_device
      4 House	of	Representatives
      3 Turnbull	and	Attorney
      3 the	Prime	Minister
      3 The	Governor	General
      3 the	George	Brandis
      3 the	assent	of
      3 t_domain	news	com
      3 Senator	the	George
      3 receiving	the	Prime
      3 Peter	Cosgrove	receiving
      3 of	the	Marriage
      3 News	Corp	Australia
      3 Malcolm	Turnbull	and
      3 legal	in	Australia
      3 in	the	House
      3 in	Canberra	Picture
      3 Governor	General	Sir
      3 Government	House	in
      3 George	Brandis	for
      3 General	Sir	Peter
      3 General	Senator	the
      3 for	the	assent
      3 Cosgrove	receiving	the
      3 Canberra	Picture	Kym
      3 Brandis	for	the
      3 Bill	2017	at
      3 Attorney	General	Senator
      3 at	Government	House
      3 assent	of	the
      3 and	Attorney	General
      3 2017	at	Government
      2 the	Governor	General
      2 SmithSource	News	Corp
      2 Share	via	Email
      2 Share	on	Twitter
      2 Share	on	Facebook
      2 same	sex	marriage
      2 Representatives	Chamber	at
      2 Picture	Kym	SmithSource
      2 passes	in	the
      2 Parliament	House	in
      2 on	Twitter	Share
      2 on	Facebook	Share
      2 of	the	bill
      2 of	Representatives	Chamber
      2 newscomau	index	promo
      2 lifestyle	gay	mar
      2 Kym	SmithSource	News
      2 gay	mar	riage
      2 Facebook	Share	on
      2 desktop	t_domain	news
      2 com	au	t_product
      2 Chamber	at	Parliament
      2 Celebrations	after	the
      2 can	take	place
      2 Bill	2017	passes
      2 Bert	and	Ernie
      2 at	Parliament	House
      2 after	the	Marriage
      2 account	Sign	up
      2 2017	passes	in
      2 2	0	0
      1 your	opinions	Privacy
      1 your	comment	to
      1 your	choices	including
      1 you	use	across
      1 you	on	our
      1 you	now	go
      1 you	are	commenting
      1 YORK	NY	SEPTEMBER
      1 York	City	Photo
      1 years	of	debate
      1 year	charis	chang
      1 year	ago	display
      1 would	not	put
      1 World	s	most
      1 World	Lifestyle	Travel
      1 WordPress	com	VIP
      1 Wong	after	the
      1 woman	leaning	head
      1 woman	drinking	sangria
      1 with	Labor	senator
      1 with	couples	able
      1 With	AAP	The
      1 will	take	effect
      1 will	have	their
      1 will	be	most
      1 whole	parliament	The
      1 who	got	married
      1 when	in	office
      1 week	after	the
      1 weddings	can	take
      1 wedding	preparations	It
      1 Wedding	mag	closes
      1 wedding	cake	5f56cd3a7c543e3da87b480d8dce6de9
      1 Web	NewsNetwork	Network
      1 We	test	Rihanna
      1 we	love	and
      1 We	collect	information
      1 was	unforgettable	Senator
      1 was	something	that
      1 was	agreed	to
      1 was	a	guy
      1 Warning	over	transgender
      1 Wargo	Getty	Images
      1 Wall	Street	on
      1 voted	against	the
      1 vote	to	celebrate
      1 vote	86e170382a96c8df01c05f2151299fc1	World
      1 visited	Sir	Peter
      1 VIP	articleGMT	11
      1 victory	now	belongs
      1 via	Email	Share
      1 via	Email	Leave
      1 ve	done	since
      1 ve	been	in
      1 use	it	to
      1 use	across	this
      1 us	Newsletters	Connect
      1 us	Advertise	About
      1 upset	woman	leaning
      1 up	Log	out
      1 up	Join	the
      1 unions	automatically	recognised
      1 unforgettable	Senator	George
      1 under	Australia	law
      1 unchanged	on	Thursday
      1 type	article	Share
      1 Twitter	Share	via
      1 Twitter	Share	on
      1 twist	in	Bert
      1 Turnbull	visited	Sir
      1 Turnbull	said	A
      1 Turnbull	encouraged	his
      1 Turnbull	described	the
      1 truth	revealed	595c5f6cda46df07f51dd0541b3f25a0
      1 true	type	article
      1 true	td	_showimages
      1 true		
      1 trending	td_heading	trending
      1 trending	in	lifestyle
      1 trending	2520in	2520lifestyle
      1 Travel	Entertainment	Technology
      1 transgender	law	change
      1 traditional	marriage	he
      1 top	td_section	lifestyle
      1 top	MORE	IN
      1 told	the	Seven
      1 told	ABC	radio
      1 today	Prime	Minister
      1 to	you	on
      1 to	top	MORE
      1 to	this	story
      1 to	this	Act
      1 to	the	whole
      1 to	start	making
      1 To	see	the
      1 to	realise	that
      1 to	opt	out
      1 to	marry	by
      1 to	make	same
      1 to	make	both
      1 to	Main	Content
      1 to	lodge	a
      1 To	join	the
      1 to	her	marriage
      1 to	change	Australia
      1 to	celebrate	To
      1 to	by	the
      1 to	boss	during
      1 times	AEDT	GMT
      1 Thursday	evening	after
      1 thumbnail	The	interviewer
      1 thumbnail	The	Beauty
      1 thumbnail	Single	tax
      1 thumbnail	Pill	testing
      1 thumbnail	Peak	Chocolate
      1 threat	to	her
      1 threat	is	lack
      1 this	story	To
      1 this	site	and
      1 this	morning	the
      1 this	means	weddings
      1 this	is	the
      1 This	is	because
      1 this	Act	the
      1 think	this	is
      1 think	gay	people
      1 things	I	ve
      1 there	and	get
      1 Theo	Wargo	Getty
      1 their	unions	automatically
      1 their	ceremonies	Couples
      1 the	whole	parliament
      1 the	vote	to
      1 the	victory	now
      1 the	things	I
      1 the	SSM	bill
      1 the	signing	of
      1 the	Seven	Network
      1 the	Senate	Celebrations
      1 the	real	threat
      1 the	private	bill
      1 the	postal	survey
      1 The	passage	of
      1 the	one	that
      1 The	new	laws
      1 the	new	laws
      1 the	new	law
      1 the	matter	when
      1 the	legislation	was
      1 the	laws	would
      1 the	last	step
      1 the	issue	now
      1 The	interviewer	for
      1 the	historic	moment
      1 the	historic	laws
      1 The	government	has
      1 the	galleries	of
      1 THE	final	step
      1 the	date	the
      1 the	cost	of
      1 the	conversation	you
      1 the	conversation	please
      1 the	content	including
      1 The	consequences	of
      1 the	bill	this
      1 the	bill	The
      1 The	Beauty	Diary
      1 the	Attorney	General
      1 the	Act	now
      1 that	will	be
      1 that	was	unforgettable
      1 that	think	gay
      1 that	the	real
      1 testing	at	music
      1 Testin	207	Beautiful
      1 test	Rihanna	s
      1 Terms	Conditions	A
      1 Technology	Finance	Sport
      1 Teamwork	or	company
      1 td_storyID	070e3df2531bdab8663fd	74c9cd5486c
      1 td_showcount	true	td
      1 td_part	top	td_section
      1 td_part	js	td_section
      1 td_part	css	td_section
      1 td_part	bottom	td_section
      1 td_module	header	gay
      1 td_heading	trending	2520in
      1 td_display	desktop	t_trouter
      1 td	_showimages	true
      1 tax	Kate	Iselin
      1 Tank	earns	trending
      1 take	place	in
      1 take	place	from
      1 take	effect	and
      1 t_trouter	true	
      1 t_product	newscomau	index
      1 t_product	newscom	au
      1 t_p	roduct	newscomau
      1 t	have	an
      1 t	answer	on
      1 survey	on	same
      1 Street	on	September
      1 story	To	join
      1 step	to	make
      1 step	to	change
      1 start	making	wedding
      1 SSM	bill	royal
      1 Sport	Search	path
      1 spontaneously	was	something
      1 spoke	for	a
      1 Source	News	Corp
      1 something	that	was
      1 Smith	The	Governor
      1 Skip	to	Main
      1 skdjfsd	kfjdk	fdkfjskff
      1 sites	Find	out
      1 site	path	components
      1 Site	Navigation	Site
      1 Site	Map	Log
      1 Site	footer	Site
      1 site	and	use
      1 Sir	Cosgrove	said
      1 Single	tax	Kate
      1 since	I	ve
      1 signing	of	the
      1 signed	off	on
      1 signed	a	copy
      1 Sign	up	Log
      1 Sign	up	Join
      1 Shorten	said	the
      1 Shark	Tank	earns
      1 shared	a	drink
      1 sex	marriages	can
      1 sex	marriage	legal
      1 SEX	marriage	is
      1 sex	marriage	is
      1 sex	marriage	as
      1 sex	couples	saying
