     18 January	February	2019
      8 same	sex	couples
      6 same	sex	marriage
      6 loc	300	key
      6 ADTECH	loc	300
      5 for	gay	marriage
      5 a	majority	of
      4 woman	Photograph	by
      4 within	the	dental
      4 Warinner	Manuscripts	Illuminated
      4 the	lower	jaw
      4 the	gay	marriage
      4 the	Future	of
      4 the	dental	calculus
      4 support	for	gay
      4 Predict	the	Future
      4 pigment	entrapped	within
      4 Photograph	by	Christina
      4 on	the	lower
      4 of	Online	Education
      4 of	a	medieval
      4 MOOCs	Predict	the
      4 medieval	woman	Photograph
      4 Manuscripts	Illuminated	by
      4 lower	jaw	of
      4 lazuli	pigment	entrapped
      4 Lapis	lazuli	pigment
      4 key1	key2	key3
      4 key	key1	key2
      4 jaw	of	a
      4 Illuminated	by	Women
      4 Future	of	Online
      4 entrapped	within	the
      4 dental	calculus	on
      4 constitutional	amendment	to
      4 Christina	Warinner	Manuscripts
      4 Can	MOOCs	Predict
      4 calculus	on	the
      4 by	Christina	Warinner
      4 a	medieval	woman
      4 300	key	key1
      4 16	Cryptic	Puzzle
      3 vision	for	massive
      3 the	Supreme	Court
      3 the	Massachusetts	ruling
      3 the	future	of
      3 the	federal	marriage
      3 suggest	a	more
      3 Science	Magazine	Chart
      3 same	sex	partners
      3 S	C	Rosenberg
      3 Rosenberg	Can	MOOCs
      3 Photograph	from	the
      3 Photograph	courtesy	of
      3 Philip	J	Deloria
      3 percent	in	2004
      3 open	online	courses
      3 Online	Education	Harvard
      3 online	education	Data
      3 online	courses	a
      3 of	online	education
      3 of	marriage	equality
      3 of	gay	marriage
      3 New	York	and
      3 more	constrained	vision
      3 MIT	experiences	suggest
      3 massive	open	online
      3 massive	free	courses
      3 Magazine	Chart	by
      3 Lydia	S	C
      3 key2	key3	key4
      3 into	the	future
      3 Harvard	and	MIT
      3 gays	and	lesbians
      3 gay	marriage	rulings
      3 gay	marriage	a
      3 future	of	online
      3 from	Science	Magazine
      3 from	massive	open
      3 free	courses	1
      3 for	massive	free
      3 federal	marriage	amendment
      3 experiences	suggest	a
      3 embraced	marriage	equality
      3 Education	Harvard	and
      3 education	Data	from
      3 Data	from	Science
      3 data	from	massive
      3 crystal	ball	into
      3 courses	a	crystal
      3 courses	1	10
      3 constrained	vision	for
      3 Chart	by	Lydia
      3 C	Rosenberg	Can
      3 by	Lydia	S
      3 ball	into	the
      3 at	the	time
      3 Are	data	from
      3 and	New	Jersey
      3 and	MIT	experiences
      3 a	more	constrained
      3 a	crystal	ball
      3 a	constitutional	right
      3 1	10	19
      2 Your	independent	source
      2 You	Might	Also
      2 York	and	New
      2 yard	touchdown	The
      2 Yale	s	Deonte
      2 would	not	surrender
      2 women	were	directly
      2 Women	Tracing	lapis
      2 Women	Illustration	by
      2 wideout	Jack	Cook
      2 who	reported	knowing
      2 Who	Belongs	at
      2 which	it	would
      2 What	s	Up
      2 were	directly	involved
      2 wartime	portrait	Photograph
      2 Valley	Ski	Area
      2 Up	Comes	Down
      2 Undergraduate	considers	the
      2 Ulysses	S	Grant
      2 traditional	definition	of
      2 Tracing	lapis	lazuli
      2 tour	Harvard	wideout
      2 touchdown	The	score
      2 to	gay	marriage
      2 Tim	O	Meara
      2 those	who	reported
      2 third	quarter	15
      2 The	Undergraduate	considers
      2 the	traditional	definition
      2 the	state	legislature
      2 The	score	gave
      2 the	Republican	Party
      2 The	positive	impact
      2 the	political	backlash
      2 the	party	s
      2 The	number	of
      2 the	nation	s
      2 the	Mathew	Brady
      2 the	late	1980s
      2 The	issue	proved
      2 the	institution	of
      2 the	image	of
      2 The	Harvard	Crimson
      2 the	first	time
      2 the	federal	government
      2 the	dust	on
      2 the	Defense	of
      2 the	Crimson	a
      2 the	Court	s
      2 the	contradictions	that
      2 the	constitutionality	of
      2 the	composition	of
      2 that	women	were
      2 that	made	America
      2 surrender	Photograph	by
      2 Support	for	gay
      2 studies	American	Indians
      2 Statue	of	John
      2 state	marriage	amendment
      2 state	constitutional	amendment
      2 source	for	Harvard
      2 Social	20Sciences	Research
      2 sexual	orientation	in
      2 Search	form	Search
      2 Search	____________________	glass
      2 score	gave	the
      2 Same	Sex	Marriage
      2 s	Up	Comes
      2 s	tour	Harvard
      2 S	Grant	Brief
      2 s	Deonte	Henson
      2 rose	from	zero
      2 Robert	Neubecker	How
      2 reported	knowing	someone
      2 rejected	gay	marriage
      2 rejected	a	proposed
      2 recognition	of	their
      2 quarter	15	yard
      2 provides	evidence	that
      2 positive	impact	of
      2 portrait	Photograph	from
      2 political	backlash	ignited
      2 points	Support	for
      2 physical	appearance	influences
      2 Photograph	by	Tim
      2 Photograph	by	Jim
      2 percentage	points	Support
      2 percent	of	those
      2 percent	of	the
      2 percent	of	Americans
      2 Parkin	Folio	Art
      2 orientation	in	public
      2 oppose	gay	marriage
      2 on	sexual	orientation
      2 on	a	third
      2 of	those	who
      2 of	the	vote
      2 of	the	image
      2 of	same	sex
      2 of	Marriage	Act
      2 of	John	Harvard
      2 of	Harvard	College
      2 of	entrepreneurial	immigrants
      2 of	Congres	Ulysses
      2 of	a	hero
      2 O	Meara	The
      2 not	surrender	Photograph
      2 news	since	1898
      2 News	Graduate	20Schools
      2 Neubecker	How	physical
      2 Native	Modern	Philip
      2 Nashoba	Valley	Ski
      2 most	swing	voters
      2 more	likely	to
      2 Might	Also	Like
      2 Michael	Parkin	Folio
      2 Michael	J	Klarman
      2 medieval	illuminated	manuscripts
      2 Meara	The	Harvard
      2 Mathew	Brady	Collection
      2 marriage	equality	The
      2 marriage	equality	is
      2 marriage	equality	In
      2 marriage	and	in
      2 marriage	a	constitutional
      2 manuscripts	1	9
      2 man	and	woman
      2 majority	of	Americans
      2 Like	Lapis	lazuli
      2 Library	of	Congres
      2 legal	recognition	of
      2 leaves	Yale	s
      2 lead	which	it
      2 lazuli	provides	evidence
      2 lapis	lazuli	provides
      2 knowing	someone	gay
      2 key	News	Graduate
      2 jurisdiction	in	the
      2 John	Holcroft	The
      2 Jim	Harrison	Native
      2 Jack	Cook	leaves
      2 J	Deloria	Photograph
      2 it	would	not
      2 is	likely	to
      2 involved	in	creating
      2 institution	of	marriage
      2 Indians	and	the
      2 independent	source	for
      2 in	three	states
      2 in	the	world
      2 in	the	military
      2 in	the	dust
      2 in	the	1990s
      2 in	public	accommodations
      2 in	its	favor
      2 in	creating	medieval
      2 in	1988	to
      2 impact	of	entrepreneurial
      2 immigrants	Illustration	by
      2 image	of	a
      2 Illustration	by	Robert
      2 Illustration	by	Michael
      2 Illustration	by	John
      2 illuminated	manuscripts	1
      2 How	physical	appearance
      2 Holcroft	The	positive
      2 history	of	the
      2 high	courts	in
      2 hero	1822	1885
      2 Henson	in	the
      2 Harvard	wideout	Jack
      2 Harvard	The	Undergraduate
      2 Harvard	news	since
      2 Harvard	Magazine	account
      2 Harvard	College	January
      2 Harrison	Native	Modern
      2 Grant	Brief	history
      2 Graduate	20Schools	Social
      2 government	would	not
      2 glass	png	Submit
      2 gay	marriage	In
      2 gay	marriage	in
      2 gay	marriage	grew
      2 gay	marriage	By
      2 gay	marriage	bills
      2 gay	marriage	and
      2 gay	and	lesbian
      2 gave	the	Crimson
      2 from	zero	in
      2 from	the	Mathew
      2 formal	wartime	portrait
      2 form	Search	____________________
      2 for	the	first
      2 for	Harvard	news
      2 for	gay	rights
      2 Folio	Art	Who
      2 federal	government	would
      2 February	2019	Photograph
      2 February	2019	Philip
      2 February	2019	Cook
      2 February	2019	A
      2 evidence	that	women
      2 entrepreneurial	immigrants	Illustration
      2 dust	on	a
      2 Down	and	Vice
      2 discrimination	based	on
      2 directly	involved	in
      2 Deonte	Henson	in
      2 Deloria	studies	American
      2 Deloria	Photograph	by
      2 definition	of	marriage
      2 Defense	of	Marriage
      2 Crimson	a	28
      2 creating	medieval	illuminated
      2 court	s	ruling
      2 court	rulings	in
      2 Cook	s	tour
      2 Cook	leaves	Yale
      2 contradictions	that	made
      2 considers	the	composition
      2 Congres	Ulysses	S
      2 composition	of	Harvard
      2 Comes	Down	and
      2 College	January	February
      2 Collection	Library	of
      2 civil	unions	as
      2 by	Women	Tracing
      2 by	Women	Illustration
      2 by	Tim	O
      2 by	Robert	Neubecker
      2 by	Michael	Parkin
      2 by	John	Holcroft
      2 by	Jim	Harrison
      2 by	51	percent
      2 Brief	history	of
      2 Brady	Collection	Library
      2 benefits	of	marriage
      2 Belongs	at	Harvard
      2 became	the	first
      2 based	on	sexual
      2 backlash	ignited	by
      2 at	Harvard	The
      2 Art	Who	Belongs
      2 appearance	influences	authority
      2 and	Vice	Versa
      2 and	the	contradictions
      2 American	Indians	and
      2 Also	Like	Lapis
      2 a	third	quarter
      2 a	state	marriage
      2 a	referendum	on
      2 a	man	and
      2 a	hero	1822
      2 A	formal	wartime
      2 a	28	24
      2 56	percent	in
      2 51	percent	to
      2 300	key	News
      2 28	24	lead
      2 24	lead	which
      2 20Schools	Social	20Sciences
      2 2019	Photograph	by
      2 2019	Philip	J
      2 2019	Cook	s
      2 1885	January	February
      2 1822	1885	January
      2 17	16	Cryptic
      2 15	yard	touchdown
      2 1	percentage	point
      2 1	9	19
      2 ____________________	glass	png
      1 zero	in	1993
      1 zero	in	1990
      1 youtube	instagram	
      1 your	Support	for
      1 your	Harvard	Magazine
      1 Your	donation	today
      1 your	blood	boiling
      1 your	alumni	status
      1 youngest	survey	respondents
      1 young	people	had
      1 young	gay	men
      1 You	were	dealing
      1 You	can	t
      1 York	s	Seneca
      1 York	legislature	enacted
      1 York	called	Kelby
      1 York	and	Washington
      1 yet	some	of
      1 yet	embraced	marriage
      1 Yesterday	s	News
      1 years	not	a
      1 years	even	though
      1 years	ago	every
      1 years	Across	the
      1 years	10	more
      1 year	the	future
      1 year	since	2000
      1 year	s	end
      1 year	produced	a
      1 year	old	bachelor
      1 year	boon	to
      1 year	after	the
      1 Yard	more	welcoming
      1 Yale	The	immediate
      1 Yale	game	ends
      1 Yale	at	IHOP
      1 Yale	27	On
      1 Yale	11	16
      1 www	googletagmanager	com
      1 wrote	the	Court
      1 writes	plays	from
      1 write	the	opinion
      1 wristed	and	a
      1 would	support	litigation
      1 would	not	recognize
      1 would	not	permit
      1 would	not	hire
      1 would	not	have
      1 would	not	dignify
      1 would	not	be
      1 would	have	considered
      1 would	do	so
      1 would	counsel	restraint
      1 would	be	surprising
      1 worse	than	terrorism
      1 world	to	recognize
      1 world	had	yet
      1 world	Finally	Kennedy
      1 working	class	Catholics
      1 workers	of	these
      1 Work	Best	in
      1 won	a	second
      1 women	in	science
      1 woman	No	national
      1 woman	In	February
      1 Wohl	writes	plays
      1 Wohl	Photograph	by
      1 without	the	title
      1 Within	a	few
      1 within	a	decade
      1 with	that	That
      1 with	talented	sophomores
      1 with	regard	to
      1 with	lingonberry	and
      1 with	liberal	justices
      1 with	just	50
      1 with	historically	accurate
      1 with	gay	marriage
      1 with	gay	characters
      1 with	antidiscrimination	laws
      1 with	all	of
      1 with	a	Flourish
      1 Wishna	Grace	Notes
      1 Winter	January	February
      1 winning	40	percent
      1 wines	stands	in
      1 win	primary	elections
      1 win	many	whites
      1 will	rule	on
      1 will	likely	be
      1 will	have	a
      1 will	continue	to
      1 will	cease	fighting
      1 will	are	not
      1 Why	the	vineyards
      1 Why	Support	Harvard
      1 Why	Resolutions	Work
      1 whose	meaning	evolves
      1 whose	judges	had
      1 whom	were	up
      1 who	were	openly
      1 who	were	becoming
      1 who	want	to
      1 who	reported	not
      1 who	quickly	became
