      6 Costa	Rica
      5 tablet	and
      5 same	sex
      5 landscape	tablet
      5 browser	and
      4 wide	browser
      4 portrait	tablet
      3 Thomson	Reuters
      3 Rica	s
      3 medium	wide
      3 Latin	American
      3 Inter	American
      3 American	Court
      2 The	Inter
      2 tablet	medium
      2 tablet	landscape
      2 sex	marriage
      2 sex	couples
      2 San	Jose
      2 rights	court
      2 of	Human
      2 medium	browser
      2 in	the
      2 Human	Rights
      2 human	rights
      2 Court	of
      2 and	larger
      2 and	below
      2 and	above
      2 American	human
      2 alternate	alternate
      1 Z	Factor
      1 years	same
      1 years	ago
      1 year	Latin
      1 www	googletagmanager
      1 Writing	by
      1 would	take
      1 World	News
      1 World	Business
      1 World	At
      1 Work	World
      1 without	discrimination
      1 with	Us
      1 who	had
      1 while	governments
      1 W9SLGS	Submit
      1 w	20
      1 vowed	to
      1 vice	president
      1 Use	Privacy
      1 Us	Advertising
      1 Uruguay	and
      1 urges	same
      1 unions	endorsing
      1 Ulate	SAN
      1 two	years
      1 TV	____________________
      1 Tuesday	that
      1 Trust	Principles
      1 trend	is
      1 treat	same
      1 transgender	people
      1 toward	this
      1 totality	The
      1 to	recognize
      1 to	marry
      1 to	increase
      1 to	adopt
      1 to	a
      1 through	temporary
      1 this	population
      1 they	receive
      1 these	rights
      1 their	obligation
      1 The	Z
      1 The	Thomson
      1 the	same
      1 the	Roman
      1 the	region
      1 the	majority
      1 the	Inter
      1 the	decision
      1 The	court
      1 the	court
      1 the	countries
      1 the	continent
      1 that	trend
      1 that	they
      1 that	these
      1 that	lawmakers
      1 that	it
      1 that	countries
      1 Terms	of
      1 temporary	decrees
      1 take	steps
      1 t	2
      1 Support	World
      1 submitted	two
      1 Submit	Submit
      1 Submit	Discover
      1 Submit	BUTTON
      1 steps	to
      1 states	on
      1 Standards	The
      1 some	parts
      1 SolutionsTax	AccountingBlog
      1 SolutionsLegalReuters	News
      1 Solomon	Editing
      1 Solis	who
      1 sites	Login
      1 should	treat
      1 should	legalize
      1 sex	unions
      1 See	here
      1 saying	that
      1 SAN	JOSE
      1 same	family
      1 said	the
      1 said	on
      1 said	at
      1 s	vice
      1 s	government
      1 s	criteria
      1 s	capital
      1 Rosalba	O
      1 Roman	Catholic
      1 Rights	Reserved
      1 rights	for
      1 Rights	decision
      1 Rights	called
      1 rights	be
      1 rights	as
      1 Rican	president
      1 Rica	January
      1 Rica	do
      1 Rica	and
      1 Reuters	Trust
      1 REUTERS	Juan
      1 Reuters	FinancialGovernment
      1 Reuters	Directory
      1 Reuters	All
      1 Reuters	A
      1 response	to
      1 Reserved	
      1 reminds	all
      1 region	should
      1 recommended	that
      1 recognize	equal
      1 recent	years
      1 receive	the
      1 Read	m
      1 r	LYNXMPEE0905E
      1 quotes	delayed
      1 push	for
      1 pursue	permanent
      1 publisher	IFRAME
      1 Privacy	All
      1 Principles	0
      1 Pretel	2
      1 press	conference
      1 president	Luis
      1 president	Ana
      1 population	Costa
      1 Politics	TV
      1 phone	portrait
      1 phone	medium
