     14 Amnesty	International
     10 International	UK
      3 UK	Section
      3 registered	in
      3 in	England
      3 England	and
      3 and	Wales
      2 YouTube	Google
      2 us	Facebook
      2 under	18
      2 UK	Amnesty
      2 UK	2017
      2 Uganda	s
      2 Twitter	Instagram
      2 Submit	Sign
      2 send	you
      2 Section	Charitable
      2 same	sex
      2 name	____________________________________________________________
      2 May	2018
      2 limited	by
      2 laws	in
      2 International	Amnesty
      2 Instagram	YouTube
      2 have	become
      2 guarantee	registered
      2 gay	laws
      2 Follow	us
      2 Facebook	Twitter
      2 company	limited
      2 Charitable	Trust
      2 by	guarantee
      2 anti	gay
      2 and	the
      2 Africa	31
      2 A	company
      2 31	May
      2 2018	02
      2 02	48pm
      2 ____________________	____________________
      1 Zimbabwe	Legal
      1 Zambia	Zimbabwe
      1 yyyy	____________________
      1 Youth	groups
      1 Your	phone
      1 your	personal
      1 your	online
      1 Your	information
      1 your	information
      1 your	full
      1 your	date
      1 you	under
      1 you	regular
      1 you	Receive
      1 you	re
      1 you	information
      1 you	dd
      1 You	can
      1 you	can
      1 you	are
      1 Yes	As
      1 years	in
      1 Yard	London
      1 worldwide	Accountability
      1 with	anyone
      1 will	never
      1 will	be
      1 wider	and
      1 when	Nigeria
      1 We	will
      1 we	use
      1 We	ll
      1 we	have
      1 we	can
      1 was	passed
      1 Wales	Media
      1 Wales	1051681
      1 Wales	03139939
      1 Wales	01735872
      1 View	all
      1 view	a
      1 vices	against
      1 version	of
      1 Verde	Central
      1 Venue	hire
      1 uses	cookies
      1 use	your
      1 us	your
      1 us	Send
      1 us	Jobs
      1 us	History
      1 us	feedback
      1 Urgent	Actions
      1 urgent	actions
      1 up	We
      1 Up	Follow
      1 unsubscribe	at
      1 United	Kingdom
      1 uk	privacy
      1 UK	Mapping
      1 UK	Login
      1 UK	LGBTI
      1 Uganda	Zambia
      1 Uganda	It
      1 Uganda	If
      1 Tunisia	Uganda
      1 Trust	We
      1 Trust	A
      1 transgender	and
      1 touch	Contact
      1 Tome	and
      1 tomake	the
      1 Togo	Tunisia
      1 together	You
      1 to	Your
      1 to	you
      1 to	view
      1 to	those
      1 to	spend
      1 to	help
      1 to	have
      1 to	existing
      1 to	be
      1 to	70505
      1 time	Email
      1 Tightening	laws
      1 those	promoting
      1 This	site
      1 this	site
      1 there	are
      1 the	punishment
      1 the	Portuguese
      1 The	organisation
      1 the	notorious
      1 the	map
      1 the	impact
      1 the	image
      1 the	first
      1 the	country
      1 the	conditions
      1 the	change
      1 the	authorities
      1 the	African
      1 that	we
      1 that	successfully
      1 that	s
      1 that	outlawed
      1 that	criminalised
      1 Text	PROTEST
      1 Terms	and
      1 tell	us
      1 team	Senior
      1 Tanzania	Togo
      1 tags	Related
      1 Tags	LGBTI
      1 Swaziland	Tanzania
      1 swap	your
      1 Supporter	Promise
      1 Sudan	Swaziland
      1 Sudan	Sudan
      1 Sudan	Northern
      1 successfully	lobbied
      1 Submit	Amnesty
      1 Submit	Accessibility
      1 Student	groups
      1 still	not
      1 step	in
      1 statement	Privacy
      1 Spokespeople	About
      1 spend	seven
      1 Southern	Somalia
      1 South	Sudan
      1 South	Africa
      1 some	rays
      1 Somalia	South
      1 Somalia	Illegal
      1 so	that
      1 site	uses
      1 site	Terms
      1 Sign	Up
      1 Sign	up
      1 Sierra	Leone
      1 Shop	Quick
      1 Share	Tags
      1 Seychelles	South
      1 sex	relationships
      1 sex	relationship
      1 sex	and
      1 seven	years
      1 sentences	for
      1 sentence	for
      1 Senior	Management
      1 Senegal	Sierra
      1 Send	us
      1 sell	or
      1 Section	and
      1 Section	A
      1 Search	Menu
      1 Search	Log
      1 Scotland	Wales
      1 Scotland	SC039534
      1 SC039534	Amnesty
      1 saying	I
      1 Sao	Tome
      1 Safeguarding	Amnesty
      1 s	President
      1 s	Parliament
      1 s	only
      1 s	anti
      1 s	already
      1 Rwanda	Sao
      1 rules	Get
      1 rights	are
      1 rights	Amnesty
      1 Republic	of
      1 Republic	Chad
      1 Reps	Country
      1 removing	a
      1 removed	the
      1 relevant	to
      1 releases	Media
      1 relationships	But
      1 relationship	you
      1 Related	Blog
      1 regular	emails
      1 Registered	office
      1 Register	Submit
      1 Regional	Reps
      1 recognised	as
      1 recently	removed
      1 Receive	urgent
      1 Read	more
      1 re	found
      1 rays	of
      1 Quick	links
      1 punishments	to
      1 punishments	Legal
      1 punishment	much
      1 PROTEST	your
      1 promoting	homosexuality
      1 Promise	Nations
      1 Privacy	notice
      1 privacy	notice
      1 prison	But
      1 Principe	Seychelles
      1 Press	releases
      1 President	passed
      1 Portuguese	colonial
      1 please	tell
      1 phone	Text
      1 personal	information
      1 people	across
      1 penalty	Mauritania
      1 passed	by
      1 passed	amendments
      1 Parliament	It
      1 outlaws	same
      1 outlawed	vices
      1 out	more
      1 our	email
      1 our	campaigns
      1 organisation	that
      1 org	uk
      1 or	swap
      1 or	legal
      1 only	the
      1 online	experience
      1 on	the
      1 officially	recognised
      1 office	17
      1 of	the
      1 of	light
      1 of	imprisonment
      1 of	Congo
      1 of	birth
      1 notorious	Anti
      1 notice	Submit
      1 notice	Community
      1 not	officially
      1 Northern	Nigeria
      1 Northern	Ireland
      1 No	_
      1 Nigeria	Southern
      1 Nigeria	Senegal
      1 Nigeria	s
      1 Nigeria	Nigeria
      1 Nigeria	already
      1 Niger	Rwanda
      1 NGO	Illegal
      1 news	Urgent
      1 New	Inn
      1 never	sell
      1 nature	But
      1 Nations	Northern
      1 Namibia	Nigeria
      1 name	to
      1 much	harsher
      1 Mozambique	recently
      1 Mozambique	Niger
      1 Morocco	Namibia
      1 more	Submit
      1 more	about
      1 mm	yyyy
      1 Menu	Home
      1 Media	team
      1 Media	Press
      1 Mauritius	Morocco
      1 Mauritania	Sudan
      1 Mauritania	Mauritius
      1 Mapping	anti
      1 map	Tightening
      1 Management	Spokespeople
      1 Mali	Mozambique
      1 Malawi	Mauritania
      1 Madagascar	Mali
      1 love	you
      1 long	fight
      1 London	EC2A
      1 Login	Search
      1 Log	in
      1 Local	groups
      1 lobbied	the
      1 ll	send
      1 list	____________________
      1 links	Local
      1 light	Mozambique
      1 life	sentence
      1 Libya	Malawi
      1 Liberia	Libya
      1 LGBTI	View
      1 LGBTI	rights
      1 LGBTI	people
