     10 Posted	at
      8 Read	more
      8 more	Posted
      6 the	BBC
      6 Nov	2018
      4 Kenneth	Macharia
      4 in	Nigeria
      4 at	16
      3 Your	Say
      3 World	News
      3 with	HIV
      3 Video	World
      3 TV	In
      3 The	Reporters
      3 Tech	Science
      3 Tanzania	2016
      3 Stories	Entertainment
      3 stands	in
      3 Special	Reports
      3 sex	affection
      3 Science	Stories
      3 same	sex
      3 Salaam	Tanzania
      3 Reports	Explainers
      3 Reporters	Have
      3 Reality	Check
      3 Pictures	Reality
      3 of	same
      3 Newsbeat	Special
      3 News	TV
      3 man	with
      3 in	the
      3 In	Pictures
      3 in	Dar
      3 in	a
      3 Home	Video
      3 HIV	stands
      3 Health	World
      3 Have	Your
      3 gay	man
      3 Explainers	The
      3 es	Salaam
      3 Entertainment	Arts
      3 Dar	es
      3 clinic	in
      3 Check	Newsbeat
      3 BBC	News
      3 Arts	Health
      3 A	gay
      3 a	clinic
      2 World	World
      2 World	TV
      2 World	Home
      2 World	Global
      2 Weather	iPlayer
      2 Wales	Politics
      2 US	Canada
      2 UK	UK
      2 UK	Home
      2 TV	Radio
      2 transgender	students
      2 Trade	Companies
      2 Tomorrow	s
      2 Technology	of
      2 Taster	Local
      2 Sport	Weather
      2 Sounds	CBBC
      2 Search	the
      2 Scotland	Wales
      2 s	World
      2 rugby	player
      2 Politics	Business
      2 On	your
      2 of	Business
      2 News	Sport
      2 News	Navigation
      2 N	Ireland
      2 Middle	East
      2 Market	Data
      2 Make	It
      2 Local	Tomorrow
      2 LGBT	rights
      2 Latin	America
      2 Kasha	Nabagesera
      2 It	Digital
      2 is	not
      2 Ireland	Scotland
      2 iPlayer	Sounds
      2 in	Uganda
      2 Home	News
      2 Home	Market
      2 Home	England
      2 Home	Africa
      2 Global	Trade
      2 Global	Education
      2 for	the
      2 Food	Bitesize
      2 Europe	Latin
      2 Entrepreneurship	Technology
      2 England	N
      2 Education	Economy
      2 Economy	Tech
      2 East	US
      2 Earth	Arts
      2 displays	of
      2 Digital	Taster
      2 Data	Global
      2 Connected	World
      2 Companies	Entrepreneurship
      2 CBeebies	Food
      2 CBBC	CBeebies
      2 Canada	UK
      2 Business	Home
      2 Business	Connected
      2 Business	Business
      2 Bristol	Bisons
      2 Bitesize	Earth
      2 Australia	Europe
      2 Asia	Australia
      2 Arts	Make
      2 anti	gay
      2 America	Middle
      2 Africa	Asia
      2 affection	are
      2 Accessibility	Help
      2 2016	The
      1 Zanzibar	Read
      1 Zanzibar	gay
      1 your	mobile
      1 your	connected
      1 young	lesbian
      1 years	in
      1 writes	Mohammed
      1 would	be
      1 World	UK
      1 women	She
      1 withheld	after
      1 with	identifying
      1 will	suffer
      1 will	be
      1 who	wanted
      1 who	they
      1 where	dozens
      1 when	gay
      1 West	African
      1 were	tightened
      1 were	first
      1 were	continuing
      1 were	attending
      1 were	also
      1 weekend	on
      1 wedding	A
      1 we	exist
      1 Watch	Queer
      1 was	very
      1 was	illegal
      1 wanted	to
      1 violence	if
      1 very	happy
      1 Use	About
      1 updates	Back
      1 up	to
      1 up	openly
      1 up	in
      1 up	57
      1 under	colonial
      1 Ulla	Tornaes
      1 UK	Business
      1 Ugandan	activist
      1 Uganda	being
      1 Uganda	A
      1 tv	Get
      1 Tornaes	addresses
      1 top	News
      1 told	the
      1 told	her
      1 to	top
      1 to	Tanzania
      1 to	return
      1 to	other
      1 to	Kenya
      1 to	external
      1 to	create
      1 to	content
      1 to	be
      1 to	14
      1 tightened	in
      1 think	we
      1 they	say
      1 they	arrested
      1 then	the
      1 their	support
      1 the	West
      1 the	weekend
      1 The	team
      1 the	suspects
      1 the	screening
      1 The	schools
      1 the	release
      1 The	police
      1 the	Oscars
      1 the	media
      1 the	mass
      1 the	main
      1 The	government
      1 the	early
      1 the	content
      1 the	challenges
      1 The	BBC
      1 the	authorities
      1 that	investigations
      1 thanked	friends
      1 Terms	of
      1 temporarily	allows
      1 team	has
      1 tasked	with
      1 Tanzanian	politician
      1 Tanzania	Gay
      1 Tanzania	amid
      1 Tanzania	A
      1 t	think
      1 suspicion	of
      1 suspects	would
      1 suspected	of
      1 surveillance	squad
      1 support	Read
      1 Sunday	morning
      1 suffer	violence
      1 such	relationships
      1 Submit	Show
      1 Submit	Search
      1 students	writes
      1 students	Rainbow
      1 Still	from
      1 state	told
      1 squad	Read
      1 spokesman	in
      1 South	African
      1 Some	fled
      1 social	media
      1 Skip	to
      1 sites	Read
      1 Since	then
      1 Show	more
      1 She	says
      1 she	faced
      1 Services	On
      1 Sep	2018
      1 senior	Tanzanian
      1 SectionsSections	Home
      1 Sections	Home
      1 sections	Home
      1 Search	Search
      1 screening	of
      1 schools	learning
      1 schools	are
      1 sc	hool
      1 says	she
      1 says	he
      1 say	they
      1 Say	LGBT
      1 Say	BUTTON
      1 Say	BBC
      1 say	are
      1 said	he
      1 s	Kenneth
      1 rule	in
      1 row	Danish
