     34 pour	tous
     29 mariage	homosexuel
     13 Mariage	pour
     13 mariage	pour
     13 du	mariage
     12 le	mariage
     11 sur	le
     11 au	mariage
     10 Le	mariage
     10 homosexuel	est
      9 de	la
      8 tous	les
      8 les	députés
      7 Mariage	homosexuel
      7 il	inéluctable
      7 est	il
      6 Manif	pour
      6 l	adoption
      6 débat	sur
      6 couples	homosexuels
      5 homosexuel	Mariage
      5 de	l
      5 dans	le
      5 associations	familiales
      5 à	l
      4 sur	la
      4 opposants	au
      4 Le	débat
      4 la	loi
      4 homosexuel	les
      4 du	débat
      4 Devant	les
      4 a	a
      3 scène	politique
      3 Que	faut
      3 pour	l
      3 pour	autrui
      3 PMA	pour
      3 penser	du
      3 ne	pas
      3 les	parlementaires
      3 les	enjeux
      3 le	droit
      3 la	scène
      3 La	Manif
      3 l	Église
      3 inéluctable	Le
      3 il	penser
      3 homosexuel	Les
      3 faut	il
      3 familiales	catholiques
      3 et	de
      3 enjeux	du
      3 d	une
      3 contre	le
      3 Commentaire	Réagir
      3 à	la
      3 0	Commentaire
      2 une	telle
      2 une	réforme
      2 une	famille
      2 un	débat
      2 trois	sociologues
      2 tous	PMA
      2 sur	l
      2 Sperber	Picturetank
      2 sociologues	livrent
      2 s	est
      2 Rufo	Gestation
      2 représentants	des
      2 religions	invitent
      2 réforme	hasardeuse
      2 réfléchissent	aux
      2 psys	Mariage
      2 Prions	en
      2 prévient	Jean
      2 pour	toutes
      2 pour	la
      2 politique	Le
      2 pointent	les
      2 philosophiques	et
      2 Peut	on
      2 pas	entreprendre
      2 parlementaires	consultent
      2 Marie	Andrès
      2 marche	des
      2 Marcel	Rufo
      2 M	le
      2 loi	sur
      2 livrent	des
      2 Les	Veilleurs
      2 les	représentants
      2 Les	opposants
      2 les	incohérences
      2 les	Français
      2 Les	enfants
      2 les	enfants
      2 Les	députés
      2 Les	associations
      2 les	associations
      2 le	Président
      2 le	débat
      2 Le	blog
      2 le	28
      2 lancez	un
      2 la	une
      2 la	question
      2 la	Manif
      2 la	France
      2 La	Croix
      2 la	campagne
      2 l	opposition
      2 l	enfant
      2 juristes	pointent
      2 Jean	Pierre
      2 Jean	Marie
      2 J	accède
      2 invitent	les
      2 inéluctable	Aldo
      2 incohérences	du
      2 Imprimer	a
      2 homosexuel	Le
      2 homosexuel	la
