      2 Submit	打开App
      1 首先声明我的观点	我不反对同性恋婚姻合法化
      1 首先	为什么我的朋友圈会对这种假新闻这么兴奋且支持呢
      1 配图都不是新闻截图而是一个豆瓣截图	我朋友圈里真是充满了看信息不辨别真假就乱转发的人ㄟ
      1 那些说要坚持捍卫同性恋的是谁	又有多少真正了解LGBT群体呢
      1 进步	所以用双性恋或者同性恋的身份出现
      1 这里重男轻女的思想仍有存留	至少我小时候爷爷奶奶给我的压岁钱最多
      1 这种两重天有两种状态	1官方不参与讨论
      1 这条消息毋庸置疑是假消息	配图都不是新闻截图而是一个豆瓣截图
      1 这就是我真正要表达的了	话语权掌握在谁手中
      1 达的三线以下城市才是中国居民最主要居住的地方	有着强大的人口基数
      1 请开启后重新打开该页面	logo
      1 说中国同性恋合法化法案已经被提出	现在已经
      1 话语权掌握在谁手中	我不反对LGBT平权
      1 让LG	BT群体的权益自然生长出来
      1 认	为美国和台湾LGBT平权了
      1 视而不见	不去支持也不去反对
      1 虽然一直存在	但是也不是当今
      1 著作权归作者所有	__________________________________________________________________
      1 获得24万人支持将要在两会上讨论了	这条消息毋庸置疑是假消息
      1 至少我小时候爷爷奶奶给我的压岁钱最多	因为我是唯一的孙子
      1 而是自己去寻求改变	因为
      1 而是一篇新闻报道	说中国同性恋合法化法案已经被提出
      1 而且这些沉默不发声的大多数	是真正的大多数
      1 而且网络大V也在一股脑支持LGBT权益	所以LGBT平权就是进步的
      1 而且并非LGBT群体	为什么会对同性恋的权益那
      1 而且	我相信这是一种
      1 而不是由某个群体或者把持公共舆论者拔苗助长	所谓同性恋问题
      1 绝大多数人	生活在不那么开放地区的人却不发声
      1 简书作者	2017
      1 立法是没有太大用处的	就好比种族歧视问题不是一道发令可以解决的
      1 社会急着要解决的问题	我很喜欢现在中国的这个范围和官方的态度
      1 的执行	请开启后重新打开该页面
      1 用历史的长远角度来看	LGBT平权真的是社会进步的必然吗
      1 生活在不那么开放地区的人却不发声	在这个问题上
      1 甚至不是同性恋也因为觉得同性	恋很
      1 现在已经	获得24万人支持将要在两会上讨论了
      1 热门文章	下载简书
      1 没错	我朋友圈关心这件事的全是女生
      1 毕竟这是一个最近十几年才由各类媒体炒热的话题	虽然一直存在
      1 极为普遍的现象	中国的社会也在被分化
      1 有着强大的人口基数	但是他们几乎不在媒体或者网络上发出一点声音
      1 有的是不愿意公开自己的性取向	有一个女孩子告诉我
      1 有一个女孩子告诉我	她觉得她
      1 是真正的大多数	我老家是一
      1 是人类发展的未来	甚至不是同性恋也因为觉得同性
      1 昨天	我的朋友圈被一条信息刷屏了
      1 改变	不要去政府支持
      1 接受世界的赞赏	Submit
      1 打开App	热门文章
      1 打开App	昨天
      1 所谓同性恋问题	立法是没有太大用处的
      1 所以用双性恋或者同性恋的身份出现	用历史的长远角度来看
      1 所以LGBT平权就是进步的	是人类发展的未来
      1 我这篇文章想分析的是关于同性恋的话语权问题	首先
      1 我身边有很多同性恋存在	他们也属于不发声的一群
      1 我读大学的地方和我老家人的思想状态完全是两个层次	但是
      1 我老家这样的小镇以及绝大多数不发	达的三线以下城市才是中国居民最主要居住的地方
      1 我老家是一	个江苏的小县城
      1 我看未必	毕竟这是一个最近十几年才由各类媒体炒热的话题
      1 我相信这是一种	极为普遍的现象
      1 我的朋友圈被一条信息刷屏了	仅仅只是我的朋友圈
      1 我朋友圈里真是充满了看信息不辨别真假就乱转发的人ㄟ	ㄏ摊手
      1 我朋友圈关心这件事的全是女生	而且并非LGBT群体
      1 我很喜欢现在中国的这个范围和官方的态度	视而不见
      1 我不反对同性恋婚姻合法化	也不歧视LGBT团体
      1 我不反对LGBT平权	但是我也不认为LGBT平权是进步的表现
      1 您的运行环境禁止了	JavaScript
      1 恋很	厉害
      1 很	进步
      1 尽力让社会去包容而不是争论	让LG
      1 就我个人来看	我读大学的地方和我老家人的思想状态完全是两个层次
      1 就好比种族歧视问题不是一道发令可以解决的	只有交给时间
      1 学者	大学生等尤其是年轻人群体已经几乎完全接受身边同性恋存在而且至少表面上不带偏见甚至乐于接受
      1 孙女	而且
      1 如果中国的LGBT群体和同情LGBT群体者真的想	改变
      1 她觉得她	和她女朋友迟早要分手的
      1 她女朋友也说希望她找一个男的结婚	那些说要坚持捍卫同性恋的是谁
      1 她们	没错
      1 大学生等尤其是年轻人群体已经几乎完全接受身边同性恋存在而且至少表面上不带偏见甚至乐于接受	但是
      1 城市中产	学者
      1 在这个问题上	他们是沉默的大多数
      1 在网络上讨论这件事已司空见惯	2一线
      1 在民间已成热点	在网络上讨论这件事已司空见惯
      1 在平静中让更多人去接受新的观念与态度	尽力让社会去包容而不是争论
      1 图片发自简书App	著作权归作者所有
      1 因为我是唯一的孙子	其他都是外孙
      1 因为刷屏的不是一篇爆款文章	而是一篇新闻报道
      1 因为	中国不仅是北上广深
      1 和她女朋友迟早要分手的	她女朋友也说希望她找一个男的结婚
      1 吕一洲	简书作者
      1 只有交给时间	如果中国的LGBT群体和同情LGBT群体者真的想
      1 又有多少真正了解LGBT群体呢	这就是我真正要表达的了
      1 厉害	很
      1 创作你的创作	接受世界的赞赏
      1 创作你的创作	免费下载
      1 创作你的创作	
      1 其他都是外孙	孙女
      1 免费下载	中国同性恋婚姻合法化的喧闹与冷落
      1 但是背后的道理引人深思	首先声明我的观点
      1 但是现在往往太多人跟风和哗众取宠	认
      1 但是我也不认为LGBT平权是进步的表现	但是现在往往太多人跟风和哗众取宠
      1 但是原因可能有的是出柜后获得了幸福	有的是不愿意公开自己的性取向
      1 但是他们几乎不在媒体或者网络上发出一点声音	我身边有很多同性恋存在
      1 但是也不是当今	社会急着要解决的问题
      1 但是	绝大多数人
      1 但是	我老家这样的小镇以及绝大多数不发
      1 他们是沉默的大多数	而且这些沉默不发声的大多数
      1 他们也属于不发声的一群	但是原因可能有的是出柜后获得了幸福
      1 仅仅只是我的朋友圈	因为刷屏的不是一篇爆款文章
      1 也尊重反对LGBT平权的保守派	我这篇文章想分析的是关于同性恋的话语权问题
      1 也不歧视LGBT团体	也尊重反对LGBT平权的保守派
      1 么关心呢	中国的LGBT平权问题一直是一个冰火两重天的状态
      1 为美国和台湾LGBT平权了	而且网络大V也在一股脑支持LGBT权益
      1 为什么我的朋友圈会对这种假新闻这么兴奋且支持呢	她们
      1 为什么会对同性恋的权益那	么关心呢
      1 中国的社会也在被分化	就我个人来看
      1 中国的LGBT平权问题一直是一个冰火两重天的状态	这种两重天有两种状态
      1 中国同性恋婚姻合法化的喧闹与冷落	180
      1 中国不仅是北上广深	LGBT一直是不被了解的那一群人
      1 个江苏的小县城	这里重男轻女的思想仍有存留
      1 不要去政府支持	而是自己去寻求改变
      1 不去支持也不去反对	在平静中让更多人去接受新的观念与态度
      1 下载简书	创作你的创作
      1 ㄏ摊手	但是背后的道理引人深思
      1 png	创作你的创作
      1 misc	logo
      1 logo	创作你的创作
      1 logo	805143dd
      1 LGBT平权真的是社会进步的必然吗	我看未必
      1 LGBT一直是不被了解的那一群人	180
      1 JavaScript	的执行
      1 BT群体的权益自然生长出来	而不是由某个群体或者把持公共舆论者拔苗助长
      1 805143dd	png
      1 40	Submit
      1 2一线	城市中产
      1 2017	02
      1 1官方不参与讨论	在民间已成热点
      1 180	图片发自简书App
      1 180	吕一洲
      1 13	40
      1 09	13
      1 02	09
      1 __________________________________________________________________	misc
