      3 镜头	科技
      3 科学	健康
      3 旅游	房地产
      3 健康	教育
      3 alternate	alternate
      2 风尚	旅游
      2 面对中国这个危险的对手	美国该怎么做
      2 长袖上阵	文身禁令下的中国足球运动员
      2 走钢丝	德国还能坚持多久
      2 负增长	与老龄化
      2 科技	科学
      2 民法	将婚姻仅视为在男女之间有效的定义后
      2 本月	一名女同性恋在同性伴侣的陪同下在台北试穿婚纱
      2 文化	风尚
      2 教育	文化
      2 报告称朝鲜官媒隐瞒金正恩访问	导弹工厂
      2 房地产	观点与评论
      2 将婚姻仅视为在男女之间有效的定义后	庆祝的人群
      2 在谷歌地图上	看到我回不去的婚姻
      2 在台北	一条反对台湾宪法法庭释宪的横幅
      2 在中美间	走钢丝
      2 国际	中国
      2 商业与经济	镜头
      2 周三	在台北
      2 周三	台湾宪法法庭的释宪推翻了
      2 台湾宪法法庭的释宪推翻了	民法
      2 台北	被同性恋占领的城市
      2 华为被指窃取知识产权	正接受美国检方调查
      2 中国	商业与经济
      2 中企欲获菲律宾造船厂控制权	菲官员表担忧
      2 与老龄化	中国人口危机迫在眉睫
      2 Tyrone	Siu
      2 Siu	Reuters
      2 App	点击下载Android
      1 风尚	时尚
      1 非洲	中国
      1 阅读	艺术
      1 针对男女同性恋分别制定婚姻法是不可接受的	对我们来说
      1 鉴于地方选举和总统大选将分别于2018年和2020年举行	许毓仁说
      1 那么同性恋伴侣	可向户政机关办理结婚之登记
      1 这个正式名字叫司法院大法官的机构作出释宪之际	正值多项意在让同性婚姻合法化的议案在通过去年年底的初读后陷入停滞
      1 超大	中国
      1 赋予男女同性恋结婚的权利	翻译
      1 说	我想呼吁总统和立法院的同仁推进这个裁决
      1 说	她对法院的裁决感到
      1 该释宪宣布后	数以百计在立法机关外观看大屏幕电视直播的支持者爆发出欢呼声
      1 该法庭是在收到要求重审现行法律的两个申请后作出这个释宪的	其中一个申请者是资深同性恋权利运动人士祁家威
      1 许毓仁说	执政的民进党可能不愿推动遭到了保守派团体
      1 让唯恐受影响的立委得以推迟处理这个问题	对祁家威来说
      1 观点与评论	简繁中文
      1 观点与评论	国际
      1 观点与评论	专栏作者
      1 观点	漫画
      1 西班牙语	字体大小
      1 被同性恋占领的城市	最受欢迎
      1 被同性恋占领的城市	2012年12月10日
      1 表示	我们不想看立法机关动摇
      1 蔡英文说她认为台湾对这个问题的处理会	测试台湾的成熟度
      1 蔡英文并没有给这个问题提供多少政治支持	去年
      1 蔡英文同台湾和外国的记者见面	在回答有关她对同性婚姻合法化期望的问题时
      1 菲官员表担忧	国际
      1 菲官员表担忧	中企欲获菲律宾造船厂控制权
      1 英语	ESPAÑOL
      1 英文	英
      1 英	台湾将成亚洲首个同性婚姻合法化地区
      1 苏说	我们希望不用再等待两年才能结婚
      1 苏	Cindy
      1 艺术	电影与电视
      1 自那以后	蔡英文并没有给这个问题提供多少政治支持
      1 翻译	纽约时报中文网
      1 美食与美酒	生活方式
      1 美洲	欧洲
      1 美国该怎么做	面对中国这个危险的对手
      1 美国该怎么做	10
      1 美国	美洲
      1 经济	社会
      1 纽约时报中文网	点击查看本文英文版
      1 纽约时报中文网	iOS
      1 纽约时报	出版语言
      1 繁体	纽约时报
      1 简繁中文	简体
      1 简体	繁体
      1 第二个申请者是台湾首府台北的市政府	它在拒绝批准同性伴侣的婚姻申请后遭到了起诉
      1 立法机关现在有两年的时间修改	民法
      1 称	在爱之前
      1 科技公司	科技与你
      1 科技与你	科学
