      2 被称为	同性婚姻	维权第一案
      2 是2016年同志运动的一件大事	被称为	同性婚姻
      2 性格内向的孙文麟把民政局告上了法庭	是2016年同志运动的一件大事	被称为
      1 黄渤也被扣	这些是谣言	凤凰新媒体介绍
      1 顺理成章找了份	互联网公司的工作	做搜索引擎优化
      1 面	它也是最容易链接到主流社会的话题	中国当下的主流价值观是鼓励所有人的进入婚姻
      1 院裁定同性婚姻在全美合法的第二天	是个奇妙的巧合	尽管婚礼筹备过程波折
      1 阿里巴巴旗下淘宝找到北京同志中心	亲友会	淡蓝等同志相关机构
      1 阿强来做分享	已工作十年的小痕	却始终无法向同事
      1 阳光好同志	的形象	登上
      1 都有历史意义	多数人觉得败诉在意料之中	孙文麟和代理律师石伏龙却不这么认为
      1 都受到不同程度的影响	许多父母和林贤志一样	出生于保守的五六十年代
      1 郭睿	icon_logo	gif
      1 郭睿	2016	04
      1 那不如废除它	孙文麟打算和胡明亮在5月17日办婚礼	这天是
      1 遭到了一位男性工作人员	义正词严的拒绝	同日在广州
      1 造成	同妻	与
      1 通过合同	的方式解决财产分配等	拒绝民政局垄断这个权力
      1 通过各种方式表达	我的中国梦是同性婚	姻合法化
      1 送十对情侣去国外结婚	一个洛杉矶的旅游公司接下了这个项目	在商业赞助
      1 这种起诉民政局的行为	会激发公众对	同性恋群体的反感
      1 这样的法律才算是没有歧视的	代理过数次性少数群体案件的律师王振宇认为	结婚登记
      1 这样的实践需要冲破层层阻力	也带来激励与感动	中国有多少同性恋者
      1 这样可以解绑与	婚姻制度绑定的福利	消除对同性恋者的歧视
      1 这天是	国际不再恐同日	他要把自己的婚礼办成又一次倡导活动
      1 这些是谣言	凤凰新媒体介绍	投资者关系
      1 这也引发了更多同性恋伴侣希望通过移民等手段去国外登记注册的连锁效应	许多关注同志粉红经济的商家纷纷抛出橄榄枝	为同性伴侣定制出国结婚的商业产品
      1 这个问题与本案无关	不需要回答	最终败诉
      1 还开了一家茶馆	名为	多元友善之家
      1 运动	孙文麟	左
      1 过了三天	孙文麟和几个朋友在茶馆开会	筹备成立长沙同志中心
      1 辛颖认为	公民应当不论性别身份和性倾向	在各方面均享有平等权益
      1 辛颖表示	2014年底	阿里巴巴旗下淘宝找到北京同志中心
      1 辛颖和多数同志平权工作者认为当然不是	他们觉得这是一种社群现实的需求	和同性伴侣的生活息息相关
      1 辛颖与同伴离开民政局后	在胡同里遇到了准备去参加话剧排练的艾滋大使濮存昕	辛颖与同伴向濮存昕说明了自己的遭遇
      1 辛颖与同伴向濮存昕说明了自己的遭遇	并请他在自制的结婚证书上签名	表
      1 越来越多的国家实现了同性婚姻合法化	中国的同性恋伴侣期望	实现同性婚姻的诉求无法被忽视
      1 超过三万人在微博点赞	再次掀起关于中国是否该实现同性婚姻合法化的讨论	这也引发了更多同性恋伴侣希望通过移民等手段去国外登记注册的连锁效应
      1 起因是	2015年6月23日	孙文麟和相识一周年的男友胡明亮去长沙市芙蓉区民政局办理结婚登记
      1 贵州杀妻灭子分尸案	凶手	申冤15年
      1 请广州同性恋亲友会的吴幼坚	阿强来做分享	已工作十年的小痕
      1 该事件席卷社交媒体	超过三万人在微博点赞	再次掀起关于中国是否该实现同性婚姻合法化的讨论
      1 诚征英才	保护隐私权	免责条款
      1 证下举办了结婚仪式	该事件席卷社交媒体	超过三万人在微博点赞
      1 许多父母和林贤志一样	出生于保守的五六十年代	经历了思想转变的艰难时刻
      1 许多关注同志粉红经济的商家纷纷抛出橄榄枝	为同性伴侣定制出国结婚的商业产品	辛颖表示
      1 视频	纪实	直播
      1 规明确规定结婚的主体是指符合法定结婚条件的男女双方	孙	胡二人均系男性
      1 被工作人员拒绝	理由是	只有一男一女才能结婚
      1 被媒体冠以	同志婚礼	第一人的赞客CEO凌绝顶
      1 表	示支持同性恋者免受歧视的权利	国内登记屡屡受挫之后
      1 行政许可	行为	是
      1 行政确认	行为而非	行政许可
      1 行为而非	行政许可	行为
      1 行为	是	确权
      1 虽非独一无二	却仍不多见	2012年
      1 虽然婚礼上发生	了不愉快的状况	其中一位老人的儿子大闹婚礼现场
      1 获得了部分大陆同运者的青睐	同性婚姻诉讼维权案也鼓舞了李银河	她更倾向从立法角度来保障权益
      1 英国新修订的婚姻法案允许同性伴侣结婚	同年6月	英国公民可以在包括中国在内的24个国家的领馆登记结婚
      1 英国公民可以在包括中国在内的24个国家的领馆登记结婚	同年9月	上海的英国总领事戴绅伟同美籍华裔的伴侣张志鹄在英国驻华大使吴思田的见
      1 若以中国人口有14亿来计算	同性恋者的数量应当在280	0万至7000万之间
      1 芙蓉区人民法院宣判认为	中华人民共和国婚姻法	对申请结婚以及办理结婚登记的基本程序等作了专门规定
      1 胡明亮的诉称理	由不能成立	一审结束后
      1 胡二人均系男性	申请结婚登记显然不符合中国婚姻法律	法规的规定
      1 而非	授权	在没有法律禁止的情况下
      1 而是	一夫一妻	他觉得
      1 而一个制度	有些人就是进不去	那不如废除它
      1 老胡比他大十岁	初中毕业	在长沙一个小区做保安
      1 群体通过法律诉讼维权却有不同看法	他觉得	同志要过好自己的生活
      1 网友的声音有支持也有辱骂	偶尔	他会去给支持的评论回复
      1 维权第一案	起因是	2015年6月23日
      1 维权第一案	性格内向的孙文麟把民政局告上了法庭	是2016年同志运动的一件大事
      1 继承伴侣财产	甚至买房等各方面	都受到不同程度的影响
      1 给亲戚们以交代	安抚爸妈的面子	婚礼之后
      1 给予了很高评价	同志纪录片导演范坡坡非常支持孙文麟的行动	很多人很激动
      1 绕开政府登记结合的伴侣	虽非独一无二	却仍不多见
      1 结果	太多了	看不完
      1 结婚登记	是	行政确认
      1 经历了思想转变的艰难时刻	最终决定站出来支持自己的同志孩子	通过各种方式表达
      1 纪实	直播	凤凰卫视
      1 繁衍后代	与此相伴的有	剩女
      1 粉红经济潮流下	出国结婚	成为一款商业产品
      1 筹备成立长沙同志中心	准备全身心投入同志	运动
      1 第一人的赞客CEO凌绝顶	在去年和同志男友的婚礼之后	也生活得很平静
      1 第522期	weixin	gif
      1 种看法	我觉得这是关于平权	不是关于婚姻
      1 福建一对男同志公开举办婚礼	上千群众围观	小县城变得热闹非凡
      1 示支持同性恋者免受歧视的权利	国内登记屡屡受挫之后	中国的同性恋伴侣要结婚的声音并没有消失
      1 确权	而非	授权
      1 真正婚礼	绕开政府登记结合的伴侣	虽非独一无二
      1 看似认真地走完了所有流程	原被告双方进行了数番辩论	包括被告芙蓉区民政局的行政不作为
      1 看不完	4月14日	案子一审败诉的第二天
      1 直播	凤凰卫视	凤凰新媒体
      1 目前国际上比较通行的说法是	同性恋者占人群的比例约在2	到5
      1 的痛苦经历应该倒逼社会观	念发生变化	接纳同性恋群体
      1 的方式解决财产分配等	拒绝民政局垄断这个权力	辛颖认为
      1 的整理	2014年3月	英国新修订的婚姻法案允许同性伴侣结婚
      1 的形象	登上	各大媒体
      1 的名头并不响亮	案件在2016年1月5日获得受理	案件的代理律师石伏龙当时曾说
      1 登记被拒	在中学时代	孙文麟确定了自己喜欢男生后
      1 登上	各大媒体	我盛大的同志婚礼
      1 男同	形婚的拉拉	也是中国特有现象
      1 男同	与	同妻
