      7 Kay	S	Hymowitz
      5 to	do	with
      5 that	marriage	is
      5 City	Journal	on
      4 on	the	news
      4 of	marriage	as
      4 marriage	is	a
      4 jpg	eye	on
      4 in	New	York
      4 eye	on	the
      3 York	Heat	Infrastructure
      3 were	to	be
      3 twenties	and	thirties
      3 tradition	of	reforming
      3 to	enter	into
      3 The	Social	Order
      3 the	old	world
      3 the	history	of
      3 the	American	family
      3 self	governing	citizens
      3 right	to	marry
      3 rearing	and	marriage
      3 of	US	Economics
      3 of	them	are
      3 of	the	world
      3 of	the	new
      3 of	the	American
      3 of	reforming	marriage
      3 New	York	Heat
      3 marriage	as	a
      3 many	of	them
      3 it	has	always
      3 Is	it	a
      3 Infrastructure	Heart	of
      3 in	which	the
      3 in	America	that
      3 I	won	t
      3 Heat	Infrastructure	Heart
      3 Heart	of	US
      3 Health	in	New
      3 grew	up	in
      3 from	the	magazine
      3 for	self	government
      3 for	gay	marriage
      3 do	with	children
      3 child	rearing	and
      3 as	well	as
      3 a	matter	of
      2 York	Politics	Law
      2 wrote	in	his
      2 would	go	here
      2 won	t	the
      2 who	grew	up
      2 what	it	is
      2 was	originally	a
      2 vs	American	Marriage
      2 user	and	how
      2 up	to	the
      2 Topics	Arts	Culture
      2 to	provide	context
      2 to	be	free
      2 their	own	lives
      2 the	wife	s
      2 the	user	and
      2 the	Supreme	Court
      2 the	state	s
      2 the	self	governing
      2 the	rights	of
      2 the	right	to
      2 the	republican	family
      2 the	next	generation
      2 the	new	country
      2 the	late	1960s
      2 the	institution	of
      2 the	Freedmen	s
      2 the	Fourteenth	Amendment
      2 the	Founders	ideals
      2 the	current	debate
      2 the	civil	rights
      2 the	children	who
      2 that	they	were
      2 that	marriage	was
      2 Texas	Other	Contributors
      2 state	s	interest
      2 startling	diversity	of
      2 some	allow	divorce
      2 size	of	American
      2 single	parent	families
      2 self	reliant	citizens
      2 self	reliant	and
      2 Search	____________________	search
      2 Safety	Technology	Innovation
      2 s	interest	in
      2 s	dedication	to
      2 rights	of	the
      2 responsible	self	reliant
      2 rates	of	divorce
      2 Public	Safety	Technology
      2 provide	context	for
      2 principle	that	you
      2 Politics	Law	Public
      2 parts	of	the
      2 part	of	the
      2 over	the	past
      2 ordinary	civil	contract
      2 one	of	the
      2 on	Google	Plus
      2 of	the	Founders
      2 of	the	family
      2 of	republican	marriage
      2 of	principle	that
      2 of	marriage	in
      2 of	gay	marriage
      2 of	child	rearing
      2 of	being	the
      2 of	American	families
      2 nothing	to	do
      2 next	generation	of
      2 New	York	Politics
      2 new	political	order
      2 Multimedia	All	Publications
      2 much	of	the
      2 More	detailed	message
      2 message	would	go
      2 Mesage	Here	More
      2 member	of	the
      2 may	have	been
      2 matter	of	principle
      2 marriage	was	originally
      2 Marriage	vs	American
      2 marriage	in	the
      2 marriage	in	America
      2 marriage	from	parenthood
      2 marriage	as	the
      2 marriage	and	child
      2 Main	Error	Mesage
      2 long	tradition	of
      2 little	to	do
      2 Law	Public	Safety
      2 kind	of	marriage
      2 it	was	a
      2 is	that	their
      2 is	a	civil
      2 interest	in	marriage
      2 Infrastructure	Energy	New
      2 in	the	current
      2 how	to	proceed
      2 high	rates	of
      2 here	to	provide
      2 Here	More	detailed
      2 Heather	Mac	Donald
      2 Health	Care	Infrastructure
      2 has	a	strong
      2 go	here	to
      2 Gay	Marriage	vs
      2 gay	marriage	is
      2 gay	marriage	in
      2 gay	marriage	advocates
      2 Freedmen	s	Bureau
      2 for	the	user
      2 Finance	Budgets	Education
      2 Error	Mesage	Here
      2 ERROR	Main	Error
      2 Energy	New	York
      2 Education	Health	Care
      2 Economy	Finance	Budgets
      2 divorce	and	illegitimacy
      2 different	kinds	of
      2 detailed	message	would
      2 detaching	marriage	from
      2 Culture	California	Cities
      2 context	for	the
      2 civil	rights	of
      2 City	Journal	search
      2 Cities	Economy	Finance
      2 Care	Infrastructure	Energy
      2 California	Cities	Economy
      2 but	also	the
      2 Budgets	Education	Health
      2 Brian	C	Anderson
      2 Books	Multimedia	All
      2 better	than	the
      2 being	the	self
      2 be	free	from
      2 as	they	have
      2 Arts	Culture	California
      2 and	the	rights
      2 and	how	to
      2 and	child	rearing
      2 an	ordinary	civil
      2 about	detaching	marriage
      2 a	last	resort
      2 ____________________________________________________________	____________________________________________________________	____________________________________________________________
      1 zeroed	in	on
      1 YouTube	City	Journal
      1 youthful	spirit	of
      1 Your	mother	and
      1 your	father	sits
      1 Young	people	were
      1 young	people	were
      1 young	people	tend
      1 young	people	s
      1 Young	parents	in
      1 young	not	just
      1 young	neo	traditionalists
      1 young	needed	to
      1 young	it	was
      1 young	had	some
      1 young	could	freely
      1 You	won	t
      1 you	three	times
      1 you	in	the
      1 you	his	mother
      1 you	have	single
      1 you	have	a
      1 you	had	to
      1 you	get	well
      1 you	get	the
      1 you	down	at
      1 you	don	t
      1 you	chose	to
      1 you	add	together
      1 York	NY	10017
      1 York	Magazine	put
      1 yet	again	A
      1 years	has	undermined
      1 years	ago	Andrew
      1 year	old	named
      1 Yankelovich	Partners	found
      1 Xers	were	the
      1 Xers	that	is
      1 www	googletagmanager	com
      1 wrought	during	this
      1 wrote	of	a
      1 wrote	Lydia	Child
      1 wrote	in	1849
      1 wrote	in	1790
      1 written	touchingly	of
      1 written	into	many
      1 written	in	response
      1 writing	today	agrees
      1 writing	recently	in
      1 writers	including	Thomas
      1 would	reflect	American
      1 would	rear	responsible
      1 would	promote	trust
      1 would	pass	on
      1 would	nourish	a
      1 would	mirror	and
      1 would	make	the
      1 would	help	ex
      1 would	eventually	be
      1 would	care	for
      1 would	bring	on
      1 would	best	live
      1 would	be	self
      1 would	be	logical
      1 would	also	choose
      1 worth	of	the
      1 worth	in	the
      1 worth	considering	just
      1 worth	and	that
      1 worried	people	deeply
      1 world	were	to
      1 world	was	standing
      1 world	they	want
      1 world	they	grew
      1 world	patriarchal	family
      1 world	marriage	was
      1 world	it	remained
      1 world	including	Alexis
      1 world	Children	preparing
      1 world	American	citizens
      1 words	that	have
      1 wondered	then	what
      1 won	t	Johnny
      1 won	t	hear
      1 women	which	more
      1 women	s	crusades
      1 women	decreased	49
      1 woman	What	s
      1 woman	s	having
      1 wives	more	rights
      1 witnessed	during	a
      1 without	irony	carrie
      1 within	that	tie
      1 within	an	old
      1 with	whom	to
      1 with	two	or
      1 with	their	own
      1 with	their	longing
      1 with	the	loosening
      1 with	that	of
      1 with	Rosa	Parks
      1 with	Rauch	one
      1 with	propagating	the
      1 with	profound	responsibilities
      1 with	Mrs	Paine
      1 with	Martin	Luther
      1 with	its	republican
      1 with	founding	thinkers
      1 with	fostering	the
      1 with	emerging	ideals
      1 with	eight	or
      1 with	discussions	of
      1 with	children	That
      1 with	children	he
      1 with	children	and
      1 with	child	rearing
      1 with	almost	as
      1 with	a	woman
      1 with	a	stranger
      1 wish	is	little
      1 wisely	transcending	mere
      1 wisdom	decided	that
      1 window	at	the
      1 Wilson	or	John
      1 Wilson	filled	magazines
      1 Wilson	a	member
      1 William	Andrews	Seth
      1 wife	s	in
      1 wife	s	brother
      1 wife	out	the
      1 wife	moves	into
      1 Widespread	divorce	and
      1 why	the	American
      1 why	social	indicators
      1 why	shouldn	t
      1 Why	should	the
      1 whose	problems	with
      1 whose	mother	had
      1 whomever	they	choose
      1 whom	to	spend
      1 whom	they	wish
      1 whole	building	That
      1 who	would	rear
      1 who	would	pass
      1 who	were	its
      1 who	want	to
      1 who	sought	divorce
      1 who	had	never
      1 who	had	More
      1 who	had	freely
      1 who	had	a
      1 who	contracted	them
      1 who	being	from
      1 who	as	adults
      1 whites	an	injustice
      1 white	native	born
      1 White	52	Vanderbilt
      1 Whippings	and	beatings
      1 while	threatening	to
      1 while	their	children
      1 While	gays	often
      1 which	we	might
      1 which	they	contrasted
      1 which	the	young
      1 which	the	society
      1 which	the	next
      1 which	the	drama
      1 which	renders	authority
      1 which	more	fully
      1 which	large	families
      1 which	gay	marriage
      1 which	developed	at
      1 which	couples	would
      1 which	children	are
      1 whether	divorced	or
      1 whereas	in	all
      1 where	arranged	marriages
      1 when	your	father
      1 when	you	have
      1 when	the	nation
      1 when	squeamishness	on
      1 when	contraception	and
      1 When	a	third
      1 what	was	the
      1 what	two	eminent
      1 what	the	young
      1 what	the	Founders
      1 what	she	understood
      1 what	s	they
      1 What	s	more
      1 what	other	kinds
      1 what	kind	of
      1 what	it	feels
      1 What	did	the
      1 what	are	we
      1 westward	the	frontier
      1 Western	societies	the
      1 Western	seriousness	about
      1 Western	Europeans	were
      1 Western	Europe	they
      1 Western	assumptions	about
      1 were	the	same
      1 were	the	age
      1 were	still	more
      1 were	responsible	for
      1 were	no	such
      1 were	legally	unconnected
      1 were	its	victims
      1 were	increasingly	emphasizing
      1 were	impressed	by
      1 were	going	to
      1 were	free	to
      1 were	discovering	that
      1 were	designing	they
      1 were	constitutionally	repugnant
      1 were	casting	aside
      1 were	as	interested
      1 were	an	advantage
      1 were	alarmed	by
      1 were	a	violation
      1 went	beyond	a
      1 well	you	get
      1 well	Throughout	the
      1 well	on	average
      1 well	into	the
      1 well	born	master
      1 well	as	to
      1 well	as	their
      1 well	as	the
      1 welfare	payments	or
      1 welfare	dependency	are
      1 Weingarten	Herb	London
      1 weep	Think	of
      1 wedlock	when	contraception
      1 wedlock	it	was
      1 wedding	rings	at
      1 wed	and	unwed
      1 Website	design	and
      1 wearing	a	ring
      1 weakens	Alongside	the
      1 we	to	make
      1 we	might	call
      1 we	forget	that
      1 ways	of	getting
      1 way	that	anti
      1 way	of	choosing
      1 way	it	likes
      1 way	for	marriage
      1 way	congruent	with
      1 watched	a	three
      1 wasn	t	wearing
      1 wasn	t	their
      1 wasn	t	primarily
      1 Washington	Post	describe
      1 was	voicing	an
      1 was	turning	into
      1 was	the	problem
      1 was	the	loving
      1 was	the	essence
      1 was	supposed	to
      1 was	standing	aghast
      1 was	simply	a
      1 was	placing	unprecedented
      1 was	over	years
      1 was	only	one
      1 was	noticeably	different
      1 was	not	until
      1 was	not	part
      1 was	none	What
      1 was	no	longer
      1 was	more	accepted
      1 was	hoping	to
      1 was	history	In
      1 was	emotionally	grueling
      1 was	designed	to
      1 was	closer	in
      1 was	better	than
      1 was	becoming	a
      1 was	an	ordinary
      1 was	also	a
      1 was	a	threat
      1 was	a	scary
      1 was	a	relic
      1 was	a	matter
      1 was	a	mammoth
      1 was	a	downside
      1 was	a	bitter
      1 Warren	wrote	in
      1 war	with	their
      1 War	legal	philosophers
      1 War	anti	slavery
      1 wanted	to	encourage
      1 wanted	to	clear
      1 want	too	Odd
      1 want	to	marry
      1 want	for	their
      1 W	Bush	R
      1 Vows	A	History
      1 vow	was	only
      1 vow	to	another
      1 voluntary	union	between
      1 voicing	an	up
      1 visit	to	the
      1 visit	Dad	every
      1 vision	The	results
      1 vision	of	the
      1 vision	of	free
      1 vision	Gay	marriage
      1 virtuously	because	they
      1 virtuous	All	these
      1 virtually	identical	to
      1 Virginia	finally	ruled
      1 violation	of	the
      1 view	of	human
      1 Victor	Davis	Hanson
      1 victims	For	the
      1 vicious	and	irrational
      1 very	specific	sort
      1 very	much	poorer
      1 vein	the	novels
      1 ve	something	for
      1 varied	to	fit
      1 variations	that	different
      1 Vanderbilt	Avenue	New
      1 values	not	because
      1 valuation	of	the
      1 vacation	The	soaring
      1 v	Virginia	finally
      1 v	Illinois	case
      1 usually	explain	the
      1 using	the	form
      1 used	only	as
      1 use	the	comparison
      1 us	to	attach
      1 us	that	marriage
      1 us	part	commitment
      1 us	much	about
      1 us	from	self
      1 US	Economics	The
      1 US	Economics	Projects
      1 US	Economics	On
      1 urgency	because	of
      1 urged	Americans	to
      1 urban	affairs	published
      1 upon	our	relations
      1 upholding	the	civil
      1 updated	to	treat
      1 up	with	almost
      1 up	to	be
      1 up	the	permanent
      1 Up	Next	from
      1 up	kids	who
      1 up	in	was
      1 up	in	single
      1 up	in	intact
      1 up	from	time
      1 up	for	Email
      1 up	American	life
      1 unwed	fathers	were
      1 unusually	and	dependably
      1 Untoxic	Masculinity	Kay
      1 until	1967	that
      1 unpredictable	place	of
      1 unprecedented	emphasis	on
      1 Unlike	the	respectful
      1 Unlike	the	hordes
      1 Unlike	the	changes
      1 universal	family	bond
      1 universal	core	that
      1 units	the	Founders
      1 United	States	in
      1 unit	just	as
      1 unique	momentousness	to
      1 unions	are	a
      1 union	Is	it
      1 union	between	two
      1 union	a	momentous
      1 unfulfilled	came	pouring
      1 undertaking	more	demanding
      1 understood	was	turning
      1 understood	to	be
      1 understood	the	basic
      1 understood	that	the
      1 understood	that	marriage
      1 understood	that	a
      1 understanding	is	that
      1 undermined	that	vision
      1 Underestimated	Tevi	Troy
      1 underclass	and	their
      1 under	some	circumstances
      1 unconnected	Never	mind
      1 uncle	responsible	for
      1 unbroken	history	of
      1 unable	to	look
      1 ultimately	enforceable	by
      1 two	self	determining
      1 two	parent	families
      1 two	or	three
      1 two	loving	partners
      1 two	eminent	anthropologists
      1 two	earner	counterparts
      1 two	bedroom	ranch
      1 two	adults	having
      1 Twitter	Share	on
      1 Twitter	Google	Plus
      1 Twitter	City	Journal
      1 twentieth	century	It
      1 TV	s	bachelorettes
      1 turning	into	one
      1 turned	positive	Kay
      1 turned	against	the
      1 turn	out	self
      1 turn	away	from
      1 truth	you	don
      1 truth	that	marriage
      1 truth	that	familial
      1 truth	of	the
      1 trust	and	equality
      1 true	origin	of
      1 Troy	George	H
      1 troubled	couples	Young
      1 trouble	understanding	is
      1 trekked	across	the
      1 treatment	of	blacks
      1 treat	cohabiting	parents
      1 treat	children	as
      1 treasured	ideal	freedom
      1 travelers	of	the
      1 transformation	in	the
      1 transform	There	is
      1 transcending	mere	sexual
      1 transcendence	If	you
      1 transcend	class	barriers
      1 traditions	that	had
      1 traditionalists	have	trouble
      1 traditionalism	enlarges	their
      1 traditional	Western	assumptions
      1 traditional	standards	in
      1 traditional	marriage	So
      1 traditional	assumption	that
      1 tradition	of	republican
      1 traded	off	by
      1 Tracks	of	Our
      1 tracking	down	child
      1 traced	James	Wilson
      1 toxin	that	got
      1 toward	the	practice
      1 touchingly	of	marriage
      1 Totten	Adam	White
      1 Topics	Health	Care
      1 took	the	more
      1 too	varied	to
      1 Too	often	single
      1 too	Odd	as
      1 too	many	single
      1 too	many	of
      1 tolerate	some	divorce
      1 tolerant	approach	toward
      1 together	young	people
      1 together	funds	to
      1 together	but	only
      1 today	s	marriage
      1 today	agrees	the
      1 Tocqueville	were	impressed
      1 Tocqueville	observed	democratic
      1 to	white	native
      1 to	visit	Dad
      1 to	turn	out
      1 to	treat	cohabiting
      1 to	transform	There
      1 to	transcendence	If
      1 to	tolerate	some
      1 to	today	s
      1 to	time	with
      1 to	tie	parents
      1 to	thrive	in
      1 to	think	of
      1 to	these	time
      1 to	their	young
      1 to	their	task
      1 to	the	young
      1 to	the	United
      1 to	the	principles
      1 to	the	national
      1 to	the	minute
      1 to	the	matrimonial
      1 to	the	likes
      1 To	the	institution
      1 to	the	captain
      1 to	tell	mother
      1 to	take	a
      1 to	subvert	them
      1 to	spend	their
      1 to	shrink	According
      1 to	shape	their
      1 to	see	the
      1 to	see	that
      1 to	say	that
      1 to	say	about
      1 to	sabotage	it
      1 to	run	their
      1 to	republican	marriage
      1 to	recognize	the
      1 to	realize	that
      1 to	question	authority
      1 to	proceed	OKAY
      1 to	proceed	CANCEL
      1 to	prevent	That
      1 to	pop	up
      1 to	perpetuate	as
      1 to	pay	their
      1 to	pass	down
      1 to	others	T
      1 to	Nancy	F
      1 to	more	traditional
      1 to	mention	non
      1 to	meet	the
      1 to	marry	whomever
      1 to	marry	whom
      1 to	marry	whites
      1 to	marry	doesn
      1 to	marry	and
      1 to	married	parents
      1 to	marriage	History
      1 to	marriage	and
      1 to	make	of
      1 to	look	you
      1 to	live	in
      1 to	Janet	Brodie
      1 to	it	They
      1 to	individual	freedom
      1 to	include	previously
      1 To	hear	foreign
      1 to	have	some
      1 to	harness	a
      1 to	get	out
      1 to	get	its
      1 to	get	children
      1 to	fit	the
      1 to	fit	into
      1 to	ensure	the
      1 to	encourage	ex
      1 to	embody	the
      1 to	do	so
      1 to	discipline	adult
      1 to	come	in
      1 to	clear	away
      1 to	civil	rights
      1 to	civic	responsibility
      1 to	cite	just
      1 to	church	with
      1 to	choose	for
      1 to	child	rearing
      1 to	cast	serious
      1 to	bolster	their
      1 to	behave	virtuously
      1 to	begin	with
      1 to	be	used
      1 to	be	traded
      1 to	be	sure
      1 to	be	skeptical
      1 to	be	more
      1 to	be	married
      1 to	be	learned
      1 to	be	doing
      1 to	be	competent
      1 to	be	an
      1 to	be	active
      1 to	bartering	than
      1 to	attach	ourselves
      1 to	assert	in
      1 to	another	person
      1 to	Andrew	Sullivan
      1 to	an	end
      1 to	American	parents
      1 to	allow	individuals
      1 to	abandon	the
      1 to	a	future
      1 to	a	further
      1 to	3	6
      1 times	before	booting
      1 time	with	a
      1 time	to	time
      1 time	to	include
      1 time	procreation	is
      1 time	of	the
      1 time	honored	beliefs
      1 time	both	sprang
      1 til	death	do
      1 ties	between	spouses
      1 ties	and	merging
      1 Tierney	Michael	J
      1 tie	parents	and
      1 tie	Little	did
      1 Throughout	the	history
      1 throughout	much	of
      1 through	these	larger
      1 through	the	window
      1 through	support	staff
      1 through	divorces	A
      1 thrive	in	more
      1 three	year	old
      1 three	times	before
      1 three	quarters	of
      1 three	children	can
      1 threatens	to	sabotage
      1 threatening	to	subvert
      1 threatened	as	seldom
      1 threat	to	republican
      1 thoughtful	and	eloquent
      1 thought	of	it
      1 thought	marriage	is
      1 though	only	a
      1 Though	most	cultures
