      4 Same	Sex	Marriage
      3 Two	in	Three
      3 Three	Americans	Support
      3 the	U	S
      3 Support	Same	Sex
      3 Social	Policy	Issues
      3 same	sex	marriages
      3 same	sex	marriage
      3 marriages	should	be
      3 in	Three	Americans
      3 in	the	U
      3 Gallup	s	trend
      3 Americans	Support	Same
      2 via	Email	Print
      2 U	S	A
      2 Twitter	Share	on
      2 to	4	5
      2 the	Supreme	Court
      2 the	percentage	of
      2 the	highest	level
      2 Supreme	Court	s
      2 Submit	Toggle	navigation
      2 should	be	legally
      2 Share	via	Email
      2 Share	on	Twitter
      2 Share	on	LinkedIn
      2 Share	on	Facebook
      2 say	gay	marriages
      2 sample	of	national
      2 Reports	Books	Courses
      2 recognized	same	sex
      2 on	Twitter	Share
      2 on	the	issue
      2 on	LinkedIn	Share
      2 on	Facebook	Share
      2 of	sampling	error
      2 of	national	adults
      2 of	gay	marriage
      2 May	23	2018
      2 May	1	10
      2 LinkedIn	Share	via
      2 lesbian	gay	bisexual
      2 legally	recognized	same
      2 Inc	All	rights
      2 in	Gallup	s
      2 gay	marriages	should
      2 Gallup	News	Alerts
      2 Gallup	Inc	All
      2 Gallup	Business	Journal
      2 for	Your	Research
      2 Facebook	Share	on
      2 Education	Higher	Education
      2 Data	for	Your
      2 Crucial	Data	for
      2 Courses	Workshops	Events
      2 conducted	May	1
      2 Chairman	s	Blog
      2 Books	Courses	Workshops
      2 be	legally	valid
      2 All	rights	reserved
      2 Access	Crucial	Data
      2 a	same	sex
      1 zone	within	region
      1 Z	More	From
      1 YouTube	Copyright	2019
      1 your	workforce	through
      1 Your	Research	Subscribe
      1 Your	Research	Search
      1 your	organization	s
      1 your	institution	K
      1 your	inbox	Sign
      1 your	employees	do
      1 yet	to	reach
      1 years	leading	up
      1 years	but	has
      1 years	and	even
      1 year	GayMarriageSupport_political	Bottom
      1 www	googletagmanager	com
      1 WSF7BSB	0	ti
      1 would	depend	more
      1 would	bring	But
      1 World	World	Americas
      1 world	s	7
      1 World	Poll	Gallup
      1 World	News	HumanSigma
      1 World	Headquarters	901
      1 World	Education	Social
      1 World	Americas	Asia
      1 Workshops	Events	View
      1 Workshops	Events	Shop
      1 works	Gallup	Gallup
      1 Works	CliftonStrengths	34
      1 Workplaces	Create	an
      1 Workplaces	Advanced	Analytics
      1 Workplace	Gallup	Business
      1 working	rather	than
      1 Working	Class	by
      1 working	class	as
      1 workforce	through	a
      1 Workforce	Analytics	Performance
      1 Woo	All	other
      1 Women	Gallup	Vault
      1 without	the	express
      1 within	region	Landline
      1 With	the	third
      1 with	the	acceptance
      1 with	additional	minimum
      1 With	Acceptance	of
      1 with	a	random
      1 will	release	a
      1 will	continue	to
      1 Who	We	Are
      1 who	supported	gay
      1 who	say	same
      1 who	remain	mostly
      1 who	once	feared
      1 who	has	married
      1 who	favor	legally
      1 who	are	working
      1 where	employees	and
      1 when	Gallup	first
      1 what	your	employees
      1 What	We	Do
      1 what	legalization	would
      1 What	Americans	Mean
      1 were	created	for
      1 Wellbeing	Finder	Achiever
      1 Wellbeing	Diversity	Inclusion
      1 well	Gallup	s
      1 well	continue	given
      1 Well	Being	Well
      1 Well	Being	Index
      1 Well	Being	Economy
      1 Well	Being	Chronic
      1 weighting	Each	sample
      1 weekly	Gallup	News
      1 week	Gallup	will
      1 weddings	taking	place
      1 We	Do	Submit
      1 We	Are	Locations
      1 WASHINGTON	D	C
      1 Washington	D	C
      1 visibility	of	these
      1 Views	on	LGBT
      1 views	on	gay
      1 View	survey	methodology
      1 View	All	Services
      1 very	well	continue
      1 Ver	2	Notice
      1 Vault	Polling	Matters
      1 Vault	Methodology	Blog
      1 Varsity	Management	Wellbeing
      1 VantagePoint	Varsity	Management
      1 Values	and	Beliefs
      1 valid	The	current
      1 valid	New	high
      1 valid	matching	this
      1 using	random	digit
      1 Using	data	for
      1 use	only	Reproduction
      1 USA	All	Gallup
      1 Us	Careers	Media
      1 upon	the	Supreme
      1 up	to	the
      1 Up	Related	Topics
      1 Up	Recommended	Gallup
      1 up	40	percentage
      1 unregistered	trademarks	that
      1 University	Gallup	World
      1 undo	gay	marriage
      1 U	S	will
      1 U	S	Using
      1 U	S	states
      1 U	S	Estimate
      1 U	S	Daily
      1 U	S	but
      1 U	S	adults
      1 TX	R	E
      1 two	three	americans
      1 Twitter	LinkedIn	YouTube
      1 twice	as	likely
      1 Tuesday	Briefing	Gallup
      1 trying	to	undo
      1 trends	Learn	more
      1 Trends	A	Z
      1 trend	toward	increased
      1 trend	toward	greater
      1 trend	on	support
      1 trend	on	legalization
      1 trend	In	each
      1 trend	Democrats	remain
      1 transgender	LGBT	adults
      1 transgender	increased	to
      1 trademarks	that	include
      1 trademarks	are	the
      1 Tracking	Gallup	Analytics
      1 toward	increased	public
      1 toward	greater	acceptance
      1 Touch	Facebook	Twitter
      1 total	sample	of
      1 Topics	Include	USA
      1 Topics	Business	Politics
      1 Toggle	navigation	Overview
      1 Toggle	navigation	Gallup
      1 to	your	inbox
      1 to	undo	gay
      1 to	those	of
      1 to	their	legal
      1 to	the	general
      1 to	the	decision
      1 to	the	47
      1 to	support	legal
      1 to	support	gay
      1 to	receive	weekly
      1 to	reach	majority
      1 to	main	content
