      9 VOA	Newscasts
      8 East	Timor
      6 youngest	nation
      6 pride	parade
      6 LGBT	rights
      5 LGBT	pride
      5 he	said
      5 Asia	s
      4 VOA1	The
      4 VOA	Africa
      4 The	Hits
      4 o	18
      4 Newscasts	o
      4 LGBT	people
      4 in	a
      4 18	00
      3 Upcoming	o
      3 to	our
      3 to	be
      3 Timor	Leste
      3 Skip	to
      3 s	youngest
      3 people	in
      3 parade	in
      3 parade	amp
      3 on	LGBT
      3 of	the
      3 live	o
      3 Listen	live
      3 lgbt	parade
      3 LGBT	community
      3 July	20
      3 its	second
      3 Indonesia	s
      3 held	its
      3 from	LGBT
      3 for	LGBT
      3 East	Asia
      3 anti	LGBT
      3 annual	LGBT
      3 and	the
      3 and	LGBT
      3 2nd	lgbt
      3 27s	youngest
      3 18	05
      3 05	VOA
      3 04	VOA
      3 00	18
      2 Youngest	Nation
      2 young	generation
      2 writings	that
      2 with	writings
      2 Wild	Coffee
      2 Weibo	Site
      2 was	the
      2 walks	past
      2 VOA	Global
      2 Vietnam	Aug
      2 Van	Susteren
      2 US	Government
      2 Unlawful	Action
      2 U	S
      2 Top	Court
      2 to	Soaring
      2 to	main
      2 Timor	s
      2 Timor	Asia
      2 This	year
      2 the	young
      2 the	report
      2 the	LGBT
      2 the	headquarters
      2 the	5th
      2 that	was
      2 that	read
      2 that	included
      2 Subscribe	to
      2 Submit	Search
      2 Submit	Previous
      2 South	Central
      2 Soaring	HIV
      2 small	country
      2 Site	Backtracks
      2 Shutdown	116th
      2 showed	that
      2 sexual	orientation
      2 second	LGBT
      2 Search	Submit
      2 Search	____________________
      2 Science	Health
      2 save	the
      2 same	sex
      2 said	Guterres
      2 s	Youngest
      2 s	Weibo
      2 s	Unlawful
      2 s	Top
      2 Ruling	in
      2 Rights	Watch
      2 Rights	Case
      2 read	Indonesia
      2 raids	on
      2 prime	minister
      2 Previous	Next
      2 President	Donald
      2 Plugged	in
      2 people	outside
      2 past	an
      2 Participants	attend
      2 parade	July
      2 outside	the
      2 OUR	BROADCAST
      2 on	the
      2 on	private
      2 on	Gay
      2 of	us
      2 of	a
      2 Oetomo	who
      2 Oetomo	said
      2 o	LIVE
      2 o	17
      2 Next	_
      2 nation	held
      2 Nation	Celebrates
      2 nation	celebrates
      2 Middle	East
      2 March	17
      2 man	walks
      2 Makes	Landmark
      2 LGBT	Rights
      2 LGBT	Parade
      2 LGBT	is
      2 LGBT	emergency
      2 LGBT	banner
      2 Last	year
      2 last	year
      2 Landmark	Ruling
      2 Kong	s
      2 Jakarta	Indonesia
      2 It	was
      2 it	was
      2 Islamic	group
      2 is	on
      2 is	a
      2 Indonesia	March
      2 Indonesia	is
      2 in	Washington
      2 in	Timor
      2 in	the
      2 in	LGBT
      2 in	Jakarta
      2 in	Indonesia
      2 in	Hanoi
      2 Human	Rights
      2 HRW	Indonesia
      2 Hong	Kong
      2 HIV	Rate
      2 headquarters	of
      2 Hanoi	Vietnam
      2 groups	like
      2 group	in
      2 Greta	Van
      2 Government	Shutdown
      2 Global	English
      2 generation	from
      2 Gay	Censorship
      2 g	amp
      2 FILE	Participants
      2 FILE	A
      2 Europe	Middle
      2 english	amp
      2 emergency	and
      2 Donald	Trump
      2 disease	save
      2 didn	t
      2 D	g
      2 D	ch
      2 Court	Makes
      2 Contributes	to
