     11 de	même	sexe
      7 mariage	pour	tous
      5 le	mariage	pour
      4 du	Premier	ministre
      4 couples	de	même
      4 Conseil	des	ministres
      4 aux	couples	de
      3 vis	à	vis
      3 sur	le	mariage
      3 Retour	à	l
      3 Porte	parole	Conseil
      3 personnes	de	même
      3 PARTAGEZ	et	diffusez
      3 parole	Conseil	des
      3 Les	actions	Le
      3 LES	ACTIONS	du
      3 Le	Porte	parole
      3 LE	GOUVERNEMENT	et
      3 l	enfant	adopté
      3 L	ACTUALITÉ	du
      3 Gouvernement	fr	Retour
      3 GOUVERNEMENT	et	les
      3 fr	Retour	à
      3 et	les	institutions
      3 en	cas	de
      3 droit	au	mariage
      3 de	l	enfant
      3 cas	d	adoption
      3 ACTUALITÉ	du	Premier
      3 actions	Le	Porte
      3 ACTIONS	du	Gouvernement
      3 à	l	adoption
      3 à	l	accueil
      2 vous	propose	de
      2 vous	concernent	Abonnez
      2 vous	à	infos
      2 vis	de	leurs
      2 un	des	deux
      2 un	de	l
      2 un	coup	d
      2 tous	la	France
      2 thématiques	qui	vous
      2 sur	les	thématiques
      2 selon	l	ordre
      2 sa	famille	d
      2 recevoir	des	informations
      2 qui	vous	concernent
      2 propose	de	recevoir
      2 presse	Lettre	d
      2 Premier	ministre	LES
      2 premier	ministre	Contact
      2 pour	tous	la
      2 pour	le	mariage
      2 personnelles	et	cookies
      2 personnalisées	sur	les
      2 père	et	mère
      2 pays	au	monde
      2 par	les	deux
      2 par	deux	personnes
      2 Oui	c	est
      2 nouveaux	droits	pour
      2 nom	de	l
      2 ministres	LE	GOUVERNEMENT
      2 ministre	LES	ACTIONS
      2 ministre	Contact	presse
      2 Mentions	légales	Accessibilité
      2 même	sexe	dans
      2 même	sexe	bénéficient
      2 mariage	l	adoption
      2 mariage	et	à
      2 mai	2013	sur
      2 loi	sur	le
      2 loi	du	17
      2 lien	avec	sa
      2 Lettre	d	information
      2 les	thématiques	qui
      2 les	institutions	PARTAGEZ
      2 les	deux	époux
      2 Les	actualités	liés
      2 légales	Accessibilité	English
      2 le	nom	de
      2 Le	mariage	pour
      2 le	mariage	l
      2 le	mariage	homosexuel
      2 le	mariage	est
      2 le	mariage	aux
      2 le	droit	au
      2 le	14e	pays
      2 la	présidence	de
      2 La	justice	du
      2 l	un	des
      2 l	un	de
      2 l	ordre	alphabétique
      2 l	adoption	et
      2 l	adoption	de
      2 l	adoption	aux
      2 l	action	La
      2 justice	du	21e
      2 institutions	PARTAGEZ	et
