      7 Françoise	Dekeuwer	Défossez
      6 Observatoire	des	inégalités
      6 n	est	pas
      5 que	le	mariage
      5 point	de	vue
      4 un	couple	homosexuel
      4 la	question	de
      4 des	couples	homosexuels
      3 une	forme	de
      3 un	père	et
      3 structures	fondamentales	de
      3 que	le	droit
      3 que	l	on
      3 principe	de	l
      3 pour	des	raisons
      3 personnes	de	même
      3 père	et	d
      3 par	des	couples
      3 organiser	la	reproduction
      3 mariage	pour	tous
      3 les	structures	fondamentales
      3 la	cellule	familiale
      3 l	adoption	conjointe
      3 fondé	sur	l
      3 fondamentales	de	notre
      3 et	de	la
      3 et	d	une
      3 élevés	par	des
      3 de	s	y
      3 de	personnes	de
      3 de	notre	civilisation
      3 de	même	sexe
      3 de	la	famille
      3 de	l	homoparentalité
      3 de	l	autre
      3 d	une	mère
      3 d	un	père
      3 d	un	enfant
      3 à	la	société
      2 une	sorte	d
      2 une	série	d
      2 une	mère	Revenir
      2 une	différenciation	des
      2 un	couple	de
      2 un	couple	d
      2 traite	différemment	des
      2 tout	d	abord
      2 tout	à	fait
      2 techniques	de	procréation
      2 système	de	filiation
      2 sur	le	mariage
      2 sur	la	légitimité
      2 sur	l	existence
      2 sur	ce	principe
      2 sur	ce	point
      2 société	de	leur
      2 sexe	ne	peut
      2 sens	de	l
      2 s	interroger	sur
      2 Revenir	sur	ce
      2 reproduction	de	l
      2 remettre	en	question
      2 question	les	structures
      2 question	de	savoir
      2 question	de	la
      2 que	pour	un
      2 que	les	enfants
      2 que	la	société
      2 que	l	homoparentalité
      2 que	l	enfant
      2 que	de	ce
      2 que	ce	soit
      2 qu	un	mariage
      2 qu	un	couple
      2 qu	il	ouvre
      2 procréation	médicalement	assistée
      2 procédure	d	adoption
      2 principe	c	est
      2 pour	un	couple
      2 pour	l	égalité
      2 plus	ou	moins
      2 plus	mal	que
      2 peut	s	attendre
      2 personnes	homosexuelles	ne
      2 permettre	d	avoir
      2 pauvreté	en	France
      2 pas	non	plus
      2 parent	non	adoptif
      2 par	exemple	le
      2 on	traite	différemment
      2 On	peut	aisément
      2 ne	peut	procréer
      2 ne	peut	pas
      2 ne	pas	se
      2 ne	doit	pas
      2 nature	de	la
      2 mère	Revenir	sur
      2 même	sexe	ne
      2 les	enfants	élevés
      2 les	couples	homosexuels
      2 le	sens	de
      2 le	principe	de
      2 le	mariage	homosexuel
      2 le	mariage	ait
      2 la	société	de
      2 la	situation	actuelle
      2 la	rue	pour
      2 la	reproduction	de
      2 la	plupart	des
      2 la	nature	de
      2 l	intérêt	de
      2 l	idée	que
      2 l	homoparentalité	Pour
      2 l	extérieur	de
      2 l	existence	d
      2 l	égalité	des
      2 l	égale	dignité
      2 l	autre	sexe
      2 Jeunesse	pour	l
      2 interroger	sur	la
      2 Image	illustration	L
      2 homosexuels	ne	se
      2 Gestation	pour	autrui
      2 filiation	est	actuellement
      2 extérieur	de	la
      2 existence	d	un
      2 et	le	droit
      2 et	à	l
      2 est	remettre	en
      2 est	pas	moins
      2 est	en	effet
      2 est	actuellement	fondé
      2 enfants	élevés	par
      2 enfants	créés	à
      2 en	tant	que
      2 en	question	les
      2 égale	dignité	des
      2 du	point	de
      2 du	même	sexe
      2 du	mariage	homosexuel
      2 du	29	janvier
      2 droit	à	la
      2 dignité	des	personnes
      2 différenciation	des	statuts
      2 des	personnes	homosexuelles
      2 des	parents	homosexuels
      2 des	enfants	créés
      2 des	choses	que
      2 demander	à	la
      2 de	se	marier
      2 de	savoir	si
      2 de	savoir	qui
      2 de	la	procréation
      2 de	la	loi
      2 de	la	cellule
      2 de	l	Observatoire
      2 de	l	espèce
      2 de	l	adoption
      2 de	filiation	est
      2 de	discrimination	arbitraire
      2 de	ce	point
      2 de	ce	fait
      2 dans	la	discussion
      2 dans	l	ordre
      2 d	un	couple
      2 d	organiser	la
      2 d	avoir	des
      2 d	abord	pour
      2 créés	à	l
      2 couples	homosexuels	puissent
      2 couple	de	personnes
      2 Conditions	de	vie
      2 ce	qui	est
      2 ce	principe	c
      2 ce	point	de
      2 ce	n	est
      2 c	est	remettre
      2 c	est	la
      2 avoir	des	enfants
      2 au	ministre	de
      2 ainsi	que	le
      2 actuellement	fondé	sur
      2 à	toutes	les
      2 à	la	reconnaissance
      2 à	l	homoparentalité
      2 à	l	extérieur
      2 à	l	égalité
      2 à	d	autres
      2 à	certains	individus
      2 29	janvier	2013
      1 Zapatero	d	accorder
      1 Young	Fotolia	com
      1 yDp	2I1	Espace
      1 y	tenir	ou
      1 y	répondre	se
      1 y	rattacher	tout
      1 y	mouvoir	a
      1 y	intéresser	2
      1 y	avoir	de
      1 y	a	un
      1 y	a	discrimination
      1 X	Fermer	Bouton
      1 widget	iframe	yDp
      1 vue	par	Sylvie
      1 vue	On	peut
      1 vue	la	situation
      1 vue	du	développement
      1 vue	de	sa
      1 vue	conséquentialiste	est
      1 vs	DEPARTMENT	OF
      1 voyons	le	débat
      1 vous	riche	ou
      1 vous	fortuné	Image
      1 vouloir	s	unir
      1 Votre	recherche	____________________
      1 voté	portant	ainsi
      1 volonté	de	fonder
      1 volontaire	de	Mme
      1 voit	se	tromper
      1 Voir	toutes	les
      1 voir	sur	ce
      1 voir	par	exemple
      1 voir	Non	au
      1 voir	les	modalités
      1 Voir	la	critique
      1 voir	en	anglais
      1 voie	Impossible	de
      1 voie	de	conséquences
      1 vive	opposition	Dans
      1 vivant	en	concubinage
      1 visée	Françoise	Dekeuwer
      1 vie	privée	remis
      1 vie	où	en
      1 vie	Orientation	sexuelle
      1 vie	Catégories	sociales
      1 veuvage	il	faut
      1 veut	et	peut
      1 vers	la	procréation
      1 verrons	ce	que
      1 ventre	ou	étalon
      1 vaste	dialogue	de
      1 valoir	en	novembre
      1 valoir	contre	le
      1 valides	9	Autrement
      1 va	s	ouvrir
      1 utilisation	de	la
      1 utile	de	s
      1 usage	de	l
      1 Université	de	Poitiers
      1 université	de	Lille
      1 unir	sans	même
      1 uniquement	qu	il
      1 uniquement	compter	sur
      1 union	Pourquoi	dira
      1 union	par	un
      1 union	de	personnes
      1 union	civil	contrat
      1 union	aussi	sacrée
      1 union	aller	parfois
      1 unies	par	un
      1 une	union	aussi
      1 une	transgression	un
      1 une	telle	solution
      1 une	telle	démarche
      1 une	sorte	de
      1 une	solution	de
      1 une	société	démocratique
      1 une	situation	très
      1 une	réforme	juridique
      1 une	raison	évidente
      1 une	quinzaine	d
      1 une	question	le
      1 une	promesse	de
      1 une	procédure	d
      1 une	priorité	notons
      1 une	précédente	union
      1 une	position	bien
      1 une	portée	limitée
      1 une	perspective	assez
      1 une	personne	de
      1 une	parentalité	hétérosexuelle
      1 une	objection	qui
      1 une	mère	Et
      1 une	même	famille
      1 une	majorité	c
      1 une	logique	et
      1 une	littérature	très
      1 une	institution	orientée
      1 une	imposition	commune
      1 une	forme	réductrice
      1 une	figure	de
      1 une	femme	et
      1 une	dynamique	démocratiques
      1 une	discrimination	mais
      1 une	des	deux
      1 une	de	l
      1 une	certaine	psychanalyse
      1 une	autre	objection
      1 une	atteinte	à
      1 une	arme	Bouton
      1 Une	analyse	de
      1 un	vaste	dialogue
      1 un	titre	de
      1 un	terme	à
      1 un	tel	critère
      1 un	tel	cas
      1 un	système	de
      1 un	soutien	très
      1 un	simple	pacte
      1 un	sens	comme
      1 un	raisonnement	fondé
      1 un	point	de
      1 un	point	central
      1 un	plan	plus
      1 un	pas	qu
      1 un	partenaire	dans
      1 un	ou	des
      1 un	mariage	soit
      1 un	mariage	sans
      1 un	mariage	parce
      1 un	mariage	hétérosexuel
      1 un	mariage	est
      1 un	homme	est
      1 un	et	l
      1 un	ensemble	de
      1 un	enfant	peut
      1 un	enfant	par
      1 un	enfant	L
      1 un	enfant	Est
      1 un	enfant	de
      1 un	enfant	dans
      1 un	enfant	c
      1 un	e	chargé
      1 un	durcissement	des
      1 un	des	deux
      1 un	débat	tendu
      1 un	débat	sur
      1 un	critère	de
      1 Un	couple	homosexuel
